filename	acq_time	operator	randstr
anat/sub-15_ses-01_acq-defaced_T1w.nii.gz	2020-10-16T19:04:07.365000	n/a	44605473
func/sub-15_ses-01_task-localizer_run-01_bold.nii.gz	2020-10-16T19:13:23.227500	n/a	05f8b1f1
func/sub-15_ses-01_task-letters_run-01_bold.nii.gz	2020-10-16T19:22:57.055000	n/a	5e70b766
func/sub-15_ses-01_task-letters_run-02_bold.nii.gz	2020-10-16T19:30:11.190000	n/a	faa11bf8
func/sub-15_ses-01_task-letters_run-03_bold.nii.gz	2020-10-16T19:36:54.202500	n/a	55909552
func/sub-15_ses-01_task-letters_run-04_bold.nii.gz	2020-10-16T19:45:01.290000	n/a	6f3387cf
func/sub-15_ses-01_task-letters_run-05_bold.nii.gz	2020-10-16T19:51:45.847500	n/a	447ad9aa
func/sub-15_ses-01_task-letters_run-06_bold.nii.gz	2020-10-16T19:59:02.655000	n/a	e38e0c13
func/sub-15_ses-01_task-letters_run-07_bold.nii.gz	2020-10-16T20:08:14.162500	n/a	a5032f41
func/sub-15_ses-01_task-letters_run-08_bold.nii.gz	2020-10-16T20:14:43.320000	n/a	e28e6417
func/sub-15_ses-01_task-letters_run-09_bold.nii.gz	2020-10-16T20:23:45.402500	n/a	b76984a0
func/sub-15_ses-01_task-letters_run-010_bold.nii.gz	2020-10-16T20:30:08.592500	n/a	20db4977
