onset	duration	trial_type	value
3.00205567545709	0.5	13	m2
6.00405948289335	0.5	3	d1
9.00608436171387	0.5	4	l1
12.0062768406897	0.5	999	.0
15.0086850565822	0.5	6	n1
18.0107451894473	0.5	11	d2
21.0132089203289	0.5	1	b1
24.0151924668207	0.5	5	m1
27.0153383456236	0.5	999	.0
30.0173632244405	0.5	14	n2
33.0193342091479	0.5	9	b2
36.0212359014222	0.5	10	c2
39.0213594931847	0.5	999	.0
42.0235415969364	0.5	12	l2
45.0255899784534	0.5	7	v1
48.0256706170112	0.5	999	.0
51.0277895066138	0.5	16	z2
54.0299250101925	0.5	8	z1
57.0322606919035	0.5	2	c1
60.0342057426024	0.5	300	o2
63.0364093229546	0.5	15	v2
66.0384183982351	0.5	14	n2
69.0405380982775	0.5	9	b2
72.0426796801366	0.5	13	m2
75.0427627500103	0.5	999	.0
78.0448775874247	0.5	15	v2
81.0469652751744	0.5	7	v1
84.0470268684476	0.5	999	.0
87.0490472898564	0.5	6	n1
90.0509635700109	0.5	10	c2
93.0528960589254	0.5	8	z1
96.0547876207274	0.5	1	b1
99.0550360199086	0.5	999	.0
102.057608349456	0.5	11	d2
105.05991363975	0.5	16	z2
108.062030503261	0.5	5	m1
111.062149637615	0.5	999	.0
114.064106844879	0.5	4	l1
117.06615238986	0.5	12	l2
120.067997756709	0.5	100	e1
123.069947264816	0.5	3	d1
126.0719778167	0.5	2	c1
129.074052537442	0.5	12	l2
132.074237317258	0.5	999	.0
135.076386598277	0.5	16	z2
138.078466181647	0.5	14	n2
141.080568862497	0.5	3	d1
144.080664494155	0.5	999	.0
147.082581989966	0.5	5	m1
150.084703716104	0.5	8	z1
153.0870884293	0.5	1	b1
156.089077648856	0.5	9	b2
159.089140863005	0.5	999	.0
162.091576633782	0.5	4	l1
165.093493724376	0.5	7	v1
168.095635306239	0.5	13	m2
171.097638708456	0.5	2	c1
174.097915472961	0.5	999	.0
177.100106896745	0.5	15	v2
180.102058430944	0.5	6	n1
183.10402698434	0.5	11	d2
186.106196526303	0.5	200	e1
189.108360800423	0.5	10	c2
192.110347588667	0.5	5	m1
195.110596393068	0.5	999	.0
198.112500921874	0.5	11	d2
201.114554166015	0.5	8	z1
204.116470446173	0.5	3	d1
207.116720466231	0.5	999	.0
210.118618511537	0.5	10	c2
213.121179494952	0.5	16	z2
216.121401149689	0.5	999	.0
219.123368892644	0.5	4	l1
222.125398228873	0.5	9	b2
225.127435669478	0.5	7	v1
228.12767272253	0.5	999	.0
231.12965262205	0.5	13	m2
234.132055975319	0.5	6	n1
237.132148365228	0.5	999	.0
240.134768510605	0.5	12	l2
243.136769886725	0.5	1	b1
246.138788687262	0.5	15	v2
249.140912439492	0.5	14	n2
252.142847359719	0.5	400	o2
255.144910329112	0.5	2	c1
258.146878882504	0.5	4	l1
261.148949551061	0.5	16	z2
264.151221208187	0.5	2	c1
267.151416523695	0.5	999	.0
270.153419520691	0.5	13	m2
273.155553808614	0.5	1	b1
276.155633636736	0.5	999	.0
279.157898405141	0.5	14	n2
282.160343090734	0.5	3	d1
285.160535164494	0.5	999	.0
288.16261596352	0.5	8	z1
291.164631522304	0.5	7	v1
294.166638166273	0.5	9	b2
297.168640758053	0.5	6	n1
300.168811355208	0.5	999	.0
303.170920924775	0.5	10	c2
306.173035762189	0.5	12	l2
309.173099786774	0.5	999	.0
312.175150599604	0.5	5	m1
315.177225725565	0.5	15	v2
318.179189821552	0.5	11	d2
321.18137314096	0.5	300	o2
