onset	duration	trial_type	value
3.00227651975365	0.5	15	v2
6.00412188660266	0.5	6	n1
9.00609570784218	0.5	10	c2
12.0082243226971	0.5	3	d1
15.0082579558657	0.5	999	.0
18.0103569897437	0.5	8	z1
21.0123202752911	0.5	12	l2
24.0142130527493	0.5	14	n2
27.014412015229	0.5	999	.0
30.0165215847956	0.5	13	m2
33.0185476792722	0.5	2	c1
36.0207767884167	0.5	4	l1
39.0228190916459	0.5	16	z2
42.0230942352755	0.5	999	.0
45.025113035812	0.5	11	d2
48.0272987865319	0.5	1	b1
51.0295611236252	0.5	7	v1
54.031692980232	0.5	5	m1
57.0319571829532	0.5	999	.0
60.0339622060455	0.5	9	b2
63.0363408409612	0.5	5	m1
66.0381999852507	0.5	6	n1
69.0403602071819	0.5	3	d1
72.0428364998515	0.5	300	o2
75.0449420172299	0.5	2	c1
78.0469397463821	0.5	16	z2
81.0488337395	0.5	10	c2
84.0509724848271	0.5	11	d2
87.0511232262579	0.5	999	.0
90.0531566146747	0.5	8	z1
93.0554375918327	0.5	4	l1
96.0577736787636	0.5	15	v2
99.0579163158181	0.5	999	.0
102.060127190107	0.5	14	n2
105.062096553938	0.5	13	m2
108.062215688293	0.5	999	.0
111.064273389846	0.5	12	l2
114.066605424585	0.5	9	b2
117.066673501362	0.5	999	.0
120.068828455445	0.5	7	v1
123.070976926028	0.5	1	b1
126.072943048108	0.5	5	m1
129.073077985999	0.5	999	.0
132.075411236397	0.5	14	n2
135.077425984746	0.5	4	l1
138.086769522029	0.5	8	z1
141.088861667187	0.5	200	e1
144.090824952735	0.5	3	d1
147.093065813224	0.5	15	v2
150.093289899272	0.5	999	.0
153.095536027609	0.5	11	d2
156.097650459804	0.5	1	b1
159.099704109165	0.5	7	v1
162.101680766937	0.5	10	c2
165.101770320311	0.5	999	.0
168.104106812461	0.5	9	b2
171.106399540971	0.5	6	n1
174.108356748235	0.5	16	z2
177.108444275516	0.5	999	.0
180.110463076049	0.5	13	m2
183.112588449156	0.5	2	c1
186.112764314155	0.5	999	.0
189.114805806952	0.5	12	l2
192.116897952106	0.5	11	d2
195.119301305374	0.5	9	b2
198.121299439747	0.5	2	c1
201.123203968553	0.5	100	e1
204.125258023134	0.5	13	m2
207.127320992528	0.5	8	z1
210.129383556705	0.5	3	d1
213.129659105554	0.5	999	.0
216.131828647518	0.5	5	m1
219.133838938458	0.5	15	v2
222.133920792676	0.5	999	.0
225.135977278569	0.5	12	l2
228.138026470522	0.5	4	l1
231.13987507912	0.5	6	n1
234.141903199692	0.5	10	c2
237.141954257273	0.5	999	.0
240.143970221277	0.5	7	v1
243.145899468436	0.5	16	z2
246.148055638176	0.5	1	b1
249.150104424913	0.5	14	n2
252.150200461791	0.5	999	.0
255.152110258441	0.5	14	n2
258.154081243149	0.5	15	v2
261.156172172647	0.5	16	z2
264.158285794405	0.5	400	o2
267.160439127616	0.5	8	z1
270.162415785384	0.5	13	m2
273.162596918231	0.5	999	.0
276.164773754135	0.5	4	l1
279.166769862415	0.5	11	d2
282.166834697437	0.5	999	.0
285.169145255579	0.5	7	v1
288.171142174291	0.5	2	c1
291.173005370772	0.5	5	m1
294.173161785267	0.5	999	.0
297.175141279571	0.5	3	d1
300.177440491581	0.5	1	b1
303.177645127122	0.5	999	.0
306.179702018235	0.5	9	b2
309.18175445194	0.5	12	l2
312.181911271651	0.5	999	.0
315.183923183467	0.5	6	n1
318.18622523201	0.5	10	c2
321.186516584396	0.5	999	.0
