onset	duration	trial_type	value
3.00214603926725	0.5	15	v2
6.00423413223689	0.5	7	v1
9.00432003864262	0.5	999	.0
12.006674360422	0.5	2	c1
15.0087774464882	0.5	8	z1
18.010805972277	0.5	14	n2
21.0127874926766	0.5	11	d2
24.012858811202	0.5	999	.0
27.0149598711723	0.5	1	b1
30.0171699350285	0.5	4	l1
33.0195031854273	0.5	16	z2
36.0215422469082	0.5	13	m2
39.0215993827696	0.5	999	.0
42.023567530945	0.5	9	b2
45.0254988041997	0.5	10	c2
48.0280634345872	0.5	6	n1
51.0299667477375	0.5	12	l2
54.0301458544891	0.5	999	.0
57.0322213856707	0.5	3	d1
60.0342000695346	0.5	5	m1
63.0362666859	0.5	12	l2
66.0382619837401	0.5	300	o2
69.0403148226651	0.5	2	c1
72.0424333070478	0.5	10	c2
75.0446960493573	0.5	14	n2
78.044797759303	0.5	999	.0
81.0469519029502	0.5	4	l1
84.0489334233462	0.5	8	z1
87.050876853169	0.5	3	d1
90.0530504473209	0.5	5	m1
93.0531148771261	0.5	999	.0
96.0553893707838	0.5	1	b1
99.0576342834647	0.5	6	n1
102.057753012599	0.5	999	.0
105.059684691074	0.5	11	d2
108.061778051884	0.5	13	m2
111.063742147871	0.5	16	z2
114.065934787312	0.5	15	v2
117.066117541035	0.5	999	.0
120.068250613298	0.5	9	b2
123.070245100702	0.5	7	v1
126.072366016397	0.5	400	o2
129.07441642401	0.5	15	v2
132.076840848658	0.5	7	v1
135.077139900204	0.5	999	.0
138.079422903458	0.5	6	n1
141.081463991035	0.5	14	n2
144.08172616766	0.5	999	.0
147.083754693449	0.5	12	l2
150.085848054259	0.5	9	b2
153.086064035931	0.5	999	.0
156.08800908663	0.5	16	z2
159.090020998443	0.5	5	m1
162.091992793587	0.5	4	l1
165.092141914141	0.5	999	.0
168.094125460633	0.5	8	z1
171.096429535271	0.5	1	b1
174.098544777902	0.5	3	d1
177.100555068842	0.5	13	m2
180.100605721203	0.5	999	.0
183.102470943781	0.5	10	c2
186.104459352897	0.5	2	c1
189.106399946188	0.5	11	d2
192.108381061367	0.5	200	e1
195.11069080907	0.5	14	n2
198.11279227426	0.5	5	m1
201.114950470095	0.5	4	l1
204.116912945203	0.5	10	c2
207.117139867787	0.5	999	.0
210.119189870176	0.5	15	v2
213.121341987728	0.5	12	l2
216.121470036898	0.5	999	.0
219.123650519774	0.5	7	v1
222.125884491543	0.5	8	z1
225.125996331957	0.5	999	.0
228.12806051701	0.5	3	d1
231.130257613859	0.5	9	b2
234.132211579374	0.5	13	m2
237.132476997751	0.5	999	.0
240.134483236499	0.5	11	d2
243.136348459073	0.5	6	n1
246.136472050835	0.5	999	.0
249.138725473113	0.5	1	b1
252.140845983591	0.5	16	z2
255.142857084968	0.5	2	c1
258.144883179444	0.5	100	e1
261.146863484184	0.5	15	v2
264.14887499078	0.5	13	m2
267.151177039326	0.5	11	d2
270.153271210576	0.5	6	n1
273.153480708745	0.5	999	.0
276.155647414176	0.5	16	z2
279.157893542513	0.5	2	c1
282.159860475029	0.5	14	n2
285.159962590191	0.5	999	.0
288.16220426112	0.5	10	c2
291.164464572117	0.5	9	b2
294.166420968944	0.5	1	b1
297.166653969809	0.5	999	.0
300.168704377418	0.5	5	m1
303.170759242435	0.5	3	d1
306.172770749032	0.5	7	v1
309.175504355699	0.5	4	l1
312.175610117829	0.5	999	.0
315.17796808658	0.5	8	z1
318.179981214053	0.5	12	l2
321.181956656164	0.5	400	o2
