onset	duration	trial_type	value
3.00207878893707	0.5	7	v1
6.00429373247152	0.5	3	d1
9.00645316058944	0.5	15	v2
12.0066156546172	0.5	999	.0
15.0087876446187	0.5	5	m1
18.0108648126679	0.5	9	b2
21.0130906971963	0.5	12	l2
24.0150726380716	0.5	1	b1
27.015257014089	0.5	999	.0
30.0171421069026	0.5	2	c1
33.0191455245449	0.5	14	n2
36.0213766769602	0.5	16	z2
39.0231912611434	0.5	10	c2
42.0233561865043	0.5	999	.0
45.0251962996745	0.5	8	z1
48.0273318196932	0.5	11	d2
51.0295451423399	0.5	4	l1
54.0316903876874	0.5	6	n1
57.0317908827474	0.5	999	.0
60.0339182983262	0.5	13	m2
63.0360712428928	0.5	5	m1
66.0382553895533	0.5	15	v2
69.0402973032878	0.5	400	o2
72.0421698342188	0.5	6	n1
75.0443211578968	0.5	2	c1
78.0445116122446	0.5	999	.0
81.0464031886104	0.5	11	d2
84.0484511806744	0.5	3	d1
87.0485974658222	0.5	999	.0
90.0507366328393	0.5	7	v1
93.0527522071425	0.5	14	n2
96.0547074033657	0.5	13	m2
99.0568935761366	0.5	10	c2
102.05709132448	0.5	999	.0
105.059251968264	0.5	1	b1
108.061219726369	0.5	4	l1
111.061365606295	0.5	999	.0
114.063435075126	0.5	9	b2
117.065476178415	0.5	16	z2
120.067477569948	0.5	8	z1
123.067706925609	0.5	999	.0
126.069587560981	0.5	12	l2
129.071475490348	0.5	2	c1
132.073395432256	0.5	10	c2
135.075452744427	0.5	14	n2
138.07738403255	0.5	200	e1
141.079322614671	0.5	13	m2
144.081225132031	0.5	5	m1
147.08125917068	0.5	999	.0
150.083318103739	0.5	6	n1
153.085561412814	0.5	15	v2
156.087692475391	0.5	9	b2
159.089518405792	0.5	11	d2
162.089575542095	0.5	999	.0
165.091743479876	0.5	7	v1
168.09399246206	0.5	12	l2
171.096207405594	0.5	8	z1
174.096398265163	0.5	999	.0
177.098555667171	0.5	4	l1
180.100596365239	0.5	1	b1
183.102723780818	0.5	16	z2
186.104715852244	0.5	3	d1
189.104974789112	0.5	999	.0
192.106906482458	0.5	5	m1
195.109007153384	0.5	3	d1
198.111077432659	0.5	300	o2
201.113135960495	0.5	15	v2
204.115226500871	0.5	6	n1
207.117248558726	0.5	1	b1
210.117524109696	0.5	999	.0
213.119653551385	0.5	7	v1
216.121739229097	0.5	10	c2
219.121967774314	0.5	999	.0
222.123920944427	0.5	4	l1
225.125969341712	0.5	8	z1
228.12801611811	0.5	11	d2
231.128184690469	0.5	999	.0
234.13042111077	0.5	14	n2
237.132421286637	0.5	16	z2
240.134593681859	0.5	2	c1
243.136535505755	0.5	13	m2
246.136734469765	0.5	999	.0
249.138767873837	0.5	9	b2
252.140879080534	0.5	12	l2
255.140962151047	0.5	999	.0
258.142985829791	0.5	15	v2
261.145120134144	0.5	3	d1
264.147345208229	0.5	9	b2
267.149359161644	0.5	100	e1
270.151340292075	0.5	11	d2
273.153480269537	0.5	16	z2
276.15554001304	0.5	10	c2
279.155768963478	0.5	999	.0
282.157684042721	0.5	1	b1
285.159734871339	0.5	12	l2
288.159776609207	0.5	999	.0
291.161843646706	0.5	4	l1
294.163919193868	0.5	8	z1
297.164155438302	0.5	999	.0
300.166022701347	0.5	6	n1
303.1679839759	0.5	14	n2
306.170110581035	0.5	2	c1
309.170192435882	0.5	999	.0
312.172409000304	0.5	5	m1
315.174385268072	0.5	7	v1
318.176412593813	0.5	13	m2
321.176558068517	0.5	999	.0
