onset	duration	trial_type	value
3.00206744272054	0.5	6	n1
6.00409031102026	0.5	11	d2
9.00432817634282	0.5	999	.0
12.0065901256312	0.5	7	v1
15.0086737772326	0.5	3	d1
18.0108279374645	0.5	5	m1
21.0128994324059	0.5	16	z2
24.0130700308737	0.5	999	.0
27.0149855153395	0.5	9	b2
30.0169155877966	0.5	1	b1
33.019021931831	0.5	12	l2
36.019291404471	0.5	999	.0
39.0214508325898	0.5	8	z1
42.0235782481686	0.5	10	c2
45.0237565458556	0.5	999	.0
48.0257988648109	0.5	4	l1
51.0277670281384	0.5	2	c1
54.0296249710773	0.5	14	n2
57.0296646828347	0.5	999	.0
60.0317151062309	0.5	15	v2
63.033921134881	0.5	13	m2
66.036073674225	0.5	200	e1
69.0384616475594	0.5	2	c1
72.0404760061965	0.5	10	c2
75.0425920755597	0.5	1	b1
78.0447304321324	0.5	5	m1
81.0449026514889	0.5	999	.0
84.0471374509025	0.5	13	m2
87.04934307433	0.5	6	n1
90.0515515343122	0.5	8	z1
93.0517452304357	0.5	999	.0
96.0539419389788	0.5	11	d2
99.0561094715376	0.5	4	l1
102.058054131988	0.5	3	d1
105.060200593002	0.5	12	l2
108.060415765892	0.5	999	.0
111.062408647762	0.5	15	v2
114.064528364122	0.5	16	z2
117.064802294205	0.5	999	.0
120.067031825732	0.5	14	n2
123.069004446501	0.5	7	v1
126.070979903825	0.5	300	o2
129.072877558521	0.5	9	b2
132.07497863467	0.5	6	n1
135.076990967196	0.5	10	c2
138.07914553265	0.5	5	m1
141.079282497692	0.5	999	.0
144.08128307878	0.5	8	z1
147.08321760868	0.5	2	c1
150.085212111438	0.5	14	n2
153.087355735897	0.5	1	b1
156.087452989181	0.5	999	.0
159.089597424085	0.5	13	m2
162.091748747763	0.5	3	d1
165.093680441109	0.5	4	l1
168.093806870377	0.5	999	.0
171.095902273417	0.5	9	b2
174.097833156319	0.5	12	l2
177.098082367858	0.5	999	.0
180.100130765144	0.5	7	v1
183.102181998985	0.5	15	v2
186.104408693957	0.5	100	e1
189.106245970574	0.5	16	z2
192.108226695783	0.5	11	d2
195.110432319211	0.5	6	n1
198.110687203859	0.5	999	.0
201.112893232509	0.5	5	m1
204.115117901371	0.5	12	l2
207.115366302467	0.5	999	.0
210.11745441151	0.5	10	c2
213.119494299134	0.5	4	l1
216.121660616027	0.5	14	n2
219.12389946766	0.5	3	d1
222.124009688048	0.5	999	.0
225.126304865541	0.5	1	b1
228.128381628369	0.5	9	b2
231.13051957972	0.5	13	m2
234.130566990696	0.5	999	.0
237.132782744674	0.5	15	v2
240.134972969666	0.5	16	z2
243.13691236223	0.5	11	d2
246.139103802887	0.5	7	v1
249.141148553175	0.5	400	o2
252.143071331637	0.5	2	c1
255.145201178548	0.5	8	z1
258.147360606666	0.5	3	d1
261.147557949787	0.5	999	.0
264.149478296917	0.5	5	m1
267.15162881015	0.5	13	m2
270.153793911377	0.5	1	b1
273.155731277831	0.5	6	n1
276.155847981771	0.5	999	.0
279.157905293942	0.5	4	l1
282.15995612256	0.5	8	z1
285.161921449333	0.5	10	c2
288.163958500403	0.5	12	l2
291.164207306721	0.5	999	.0
294.166142241842	0.5	9	b2
297.168315447509	0.5	7	v1
300.168462137878	0.5	999	.0
303.170691264183	0.5	14	n2
306.172694681826	0.5	15	v2
309.174773065541	0.5	16	z2
312.176906154228	0.5	400	o2
315.179069229344	0.5	2	c1
318.181069810433	0.5	11	d2
321.181117221409	0.5	999	.0
