onset	duration	trial_type	value
3.00242807161976	0.5	7	v1
6.00452345852682	0.5	1	b1
9.00460977015155	0.5	999	.0
12.0066954318054	0.5	8	z1
15.0087827143343	0.5	12	l2
18.0107314120014	0.5	2	c1
21.0126776783545	0.5	10	c2
24.0128924443688	0.5	999	.0
27.0150093078773	0.5	3	d1
30.0169827238969	0.5	16	z2
33.0189075136495	0.5	9	b2
36.0191133648486	0.5	999	.0
39.0212350909833	0.5	5	m1
42.0232834724984	0.5	11	d2
45.0233604640889	0.5	999	.0
48.0255713383813	0.5	6	n1
51.0277076523962	0.5	14	n2
54.0299363563199	0.5	13	m2
57.0303808814479	0.5	999	.0
60.0327112953146	0.5	4	l1
63.0346567512306	0.5	15	v2
66.0366552908217	0.5	400	o2
69.0386157398361	0.5	9	b2
72.0405401243697	0.5	5	m1
75.0406564221921	0.5	999	.0
78.0429195697225	0.5	6	n1
81.0451203135417	0.5	12	l2
84.047130604481	0.5	7	v1
87.0473583374996	0.5	999	.0
90.0494091503288	0.5	14	n2
93.051464825784	0.5	16	z2
96.051714035405	0.5	999	.0
99.0535914145457	0.5	15	v2
102.055576987133	0.5	13	m2
105.057765169166	0.5	8	z1
108.057844997289	0.5	999	.0
111.060014539254	0.5	2	c1
114.061908937589	0.5	1	b1
117.063942731224	0.5	11	d2
120.065914931587	0.5	3	d1
123.066079045239	0.5	999	.0
126.068195908748	0.5	10	c2
129.07033343842	0.5	4	l1
132.072272410834	0.5	4	l1
135.074169240482	0.5	200	e1
138.076273947423	0.5	9	b2
141.078351099481	0.5	5	m1
144.080383272239	0.5	16	z2
147.080433924601	0.5	999	.0
150.082695856475	0.5	14	n2
153.085108124557	0.5	7	v1
156.085287636528	0.5	999	.0
159.087578744162	0.5	15	v2
162.089546487116	0.5	3	d1
165.091607025199	0.5	13	m2
168.09358732994	0.5	11	d2
171.093622178764	0.5	999	.0
174.095525491915	0.5	10	c2
177.097440151195	0.5	8	z1
180.099342653908	0.5	12	l2
183.10144695563	0.5	6	n1
186.101704269629	0.5	999	.0
189.103728338011	0.5	1	b1
192.105723635851	0.5	2	c1
195.107849414175	0.5	300	o2
198.110042458836	0.5	12	l2
201.111972111215	0.5	9	b2
204.114158672373	0.5	16	z2
207.116139787551	0.5	13	m2
210.116297417701	0.5	999	.0
213.118292310322	0.5	1	b1
216.120512099431	0.5	3	d1
219.122631799471	0.5	4	l1
222.122845755048	0.5	999	.0
225.124955324616	0.5	2	c1
228.127064894185	0.5	5	m1
231.128913097566	0.5	15	v2
234.130920957192	0.5	10	c2
237.131089528252	0.5	999	.0
240.133124537544	0.5	14	n2
243.135099574439	0.5	11	d2
246.137320579203	0.5	7	v1
249.139447573184	0.5	6	n1
252.139701240213	0.5	999	.0
255.141784875772	0.5	8	z1
258.143870132207	0.5	16	z2
261.145916892846	0.5	100	e1
264.147986345743	0.5	5	m1
267.150233284518	0.5	15	v2
270.152343259305	0.5	14	n2
273.154263591649	0.5	13	m2
276.154573178886	0.5	999	.0
279.156583064605	0.5	1	b1
282.158730319531	0.5	9	b2
285.160955376485	0.5	10	c2
288.16347664845	0.5	7	v1
291.163639546447	0.5	999	.0
294.165897831349	0.5	6	n1
297.167877730872	0.5	12	l2
300.16993583764	0.5	4	l1
303.170192746419	0.5	999	.0
306.172305962958	0.5	2	c1
309.174391624611	0.5	11	d2
312.176320871771	0.5	3	d1
315.176362609318	0.5	999	.0
318.178614410718	0.5	8	z1
321.180667249641	0.5	300	o2
