onset	duration	trial_type	value
3.00211483741441	0.5	13	m2
6.00418753206304	0.5	4	l1
9.00660709408658	0.5	12	l2
12.0086015814886	0.5	8	z1
15.0087004548986	0.5	999	.0
18.0108404158846	0.5	5	m1
21.0127878978947	0.5	3	d1
24.0128900130567	0.5	999	.0
27.0152297469576	0.5	7	v1
30.0173060885763	0.5	2	c1
33.0175593503855	0.5	999	.0
36.0198233083529	0.5	6	n1
39.0220147321379	0.5	16	z2
42.02212049427	0.5	999	.0
45.024161581845	0.5	14	n2
48.0260709732793	0.5	1	b1
51.0281918889768	0.5	11	d2
54.0306985730622	0.5	15	v2
57.0307334218869	0.5	999	.0
60.0328612263056	0.5	9	b2
63.0350656170958	0.5	10	c2
66.0371293969292	0.5	100	e1
69.0390756632823	0.5	1	b1
72.0414619973562	0.5	10	c2
75.0435987165911	0.5	2	c1
78.0436748977436	0.5	999	.0
81.0458428188322	0.5	15	v2
84.0479151082627	0.5	9	b2
87.0499031121626	0.5	6	n1
90.0499788880961	0.5	999	.0
93.0521731484132	0.5	14	n2
96.0543702452633	0.5	12	l2
99.0566759407766	0.5	3	d1
102.058806986946	0.5	16	z2
105.058984472823	0.5	999	.0
108.060967614096	0.5	4	l1
111.063217794621	0.5	8	z1
114.065316828498	0.5	7	v1
117.06538571571	0.5	999	.0
120.067432881568	0.5	11	d2
123.069913631645	0.5	13	m2
126.072074664013	0.5	5	m1
129.073959742313	0.5	15	v2
132.076013796893	0.5	400	o2
135.078062583627	0.5	14	n2
138.080209433334	0.5	10	c2
141.082374923109	0.5	12	l2
144.082566591647	0.5	999	.0
147.084602411377	0.5	3	d1
150.086735078422	0.5	6	n1
153.088759957242	0.5	5	m1
156.088854373244	0.5	999	.0
159.090904780854	0.5	7	v1
162.092849426332	0.5	2	c1
165.092891569097	0.5	999	.0
168.094843508515	0.5	9	b2
171.097415432843	0.5	11	d2
174.097601023097	0.5	999	.0
177.099899019451	0.5	4	l1
180.101890265102	0.5	13	m2
183.103862870685	0.5	1	b1
186.106008909953	0.5	8	z1
189.106068477131	0.5	999	.0
192.108011906952	0.5	16	z2
195.110065556313	0.5	8	z1
198.111968464244	0.5	300	o2
201.114083301659	0.5	9	b2
204.116262163659	0.5	11	d2
207.118185737754	0.5	13	m2
210.118425222121	0.5	999	.0
213.120545327381	0.5	12	l2
216.122710817156	0.5	6	n1
219.124830111979	0.5	2	c1
222.126849317733	0.5	16	z2
225.126936845015	0.5	999	.0
228.128886353119	0.5	14	n2
231.131194885165	0.5	5	m1
234.133494907614	0.5	7	v1
237.13369062834	0.5	999	.0
240.135903933946	0.5	15	v2
243.137866003837	0.5	1	b1
246.139839419857	0.5	3	d1
249.141931159794	0.5	10	c2
252.142021118388	0.5	999	.0
255.143861217392	0.5	4	l1
258.14581315681	0.5	3	d1
261.14807225215	0.5	13	m2
264.15041968521	0.5	200	e1
267.152343259306	0.5	11	d2
270.154330452768	0.5	6	n1
273.15636546206	0.5	12	l2
276.156597247267	0.5	999	.0
279.158769625765	0.5	16	z2
282.160941599042	0.5	1	b1
285.161034799388	0.5	999	.0
288.16319096913	0.5	9	b2
291.165436692247	0.5	2	c1
294.167508981677	0.5	5	m1
297.169462947189	0.5	8	z1
300.169497796014	0.5	999	.0
303.171624384777	0.5	4	l1
306.173616846084	0.5	14	n2
309.175871484017	0.5	7	v1
312.177812887744	0.5	15	v2
315.178075064369	0.5	999	.0
318.180262435965	0.5	10	c2
321.180329702303	0.5	999	.0
