onset	duration	trial_type	value
3.00224977530706	0.5	14	n2
6.00426290277755	0.5	1	b1
9.00683239579303	0.5	12	l2
12.008966278494	0.5	6	n1
15.0091279608332	0.5	999	.0
18.0111354152396	0.5	4	l1
21.0133017154531	0.5	5	m1
24.015243929618	0.5	9	b2
27.0153731944465	0.5	999	.0
30.017288258945	0.5	10	c2
33.0191502397684	0.5	15	v2
36.0209769665471	0.5	2	c1
39.023119764066	0.5	13	m2
42.0233519544927	0.5	999	.0
45.0256151020221	0.5	3	d1
48.0276351182147	0.5	7	v1
51.0295246539226	0.5	11	d2
54.0296348734628	0.5	999	.0
57.0315596632154	0.5	8	z1
60.0336566709975	0.5	16	z2
63.0357407117754	0.5	14	n2
66.0380192576231	0.5	200	e1
69.0399549882859	0.5	7	v1
72.04205523782	0.5	8	z1
75.0423214666334	0.5	999	.0
78.0443576915823	0.5	5	m1
81.0463234084418	0.5	12	l2
84.0482186172158	0.5	11	d2
87.0502564630387	0.5	16	z2
90.0503784339271	0.5	999	.0
93.0524450502926	0.5	10	c2
96.0546490358629	0.5	3	d1
99.0566297458226	0.5	13	m2
102.058823600921	0.5	9	b2
105.059100770646	0.5	999	.0
108.061202641054	0.5	4	l1
111.063462546834	0.5	6	n1
114.065544966736	0.5	2	c1
117.065745955308	0.5	999	.0
120.067807709047	0.5	15	v2
123.069806653857	0.5	1	b1
126.071750488896	0.5	8	z1
129.073635972416	0.5	400	o2
132.075643426822	0.5	12	l2
135.077719768442	0.5	13	m2
138.079885258217	0.5	9	b2
141.08014135656	0.5	999	.0
144.08239315796	0.5	16	z2
147.084796916446	0.5	5	m1
150.084926586493	0.5	999	.0
153.087529712675	0.5	4	l1
156.089455718085	0.5	15	v2
159.091433591511	0.5	1	b1
162.093545997614	0.5	3	d1
165.093743339216	0.5	999	.0
168.095903155927	0.5	11	d2
171.097899669423	0.5	14	n2
174.098024476842	0.5	999	.0
177.100084609705	0.5	6	n1
180.102099763271	0.5	7	v1
183.104264847829	0.5	10	c2
186.104538370582	0.5	999	.0
189.106641861868	0.5	2	c1
192.108834906529	0.5	14	n2
195.11091773165	0.5	13	m2
198.112932885215	0.5	2	c1
201.114884014196	0.5	300	o2
204.116955493188	0.5	15	v2
207.118903785637	0.5	7	v1
210.118950791028	0.5	999	.0
213.120893410412	0.5	8	z1
216.122837650671	0.5	3	d1
219.124979637751	0.5	5	m1
222.125171711506	0.5	999	.0
225.127149584934	0.5	1	b1
228.129345466128	0.5	11	d2
231.131585110961	0.5	12	l2
234.13182054314	0.5	999	.0
237.133864467247	0.5	9	b2
240.13580384488	0.5	6	n1
243.137982706879	0.5	4	l1
246.140206548176	0.5	16	z2
249.140294885894	0.5	999	.0
252.142683651282	0.5	10	c2
255.144569134802	0.5	3	d1
258.146633725071	0.5	1	b1
261.148599036715	0.5	5	m1
264.15045615491	0.5	100	e1
267.152643931726	0.5	12	l2
270.154781056179	0.5	15	v2
273.154974750811	0.5	999	.0
276.157154423248	0.5	7	v1
279.159171197689	0.5	8	z1
282.15931788693	0.5	999	.0
285.161302649078	0.5	11	d2
288.163645624731	0.5	10	c2
291.163888756068	0.5	999	.0
294.165691169714	0.5	6	n1
297.167989166068	0.5	13	m2
300.168134234433	0.5	999	.0
303.170163165441	0.5	9	b2
306.172049864617	0.5	2	c1
309.172264630632	0.5	999	.0
312.174317064335	0.5	16	z2
315.176242259306	0.5	14	n2
318.178154082054	0.5	4	l1
321.178394782077	0.5	999	.0
