onset	duration	trial_type	value
3.00457897351589	0.5	4	l1
6.00657224526003	0.5	10	c2
9.00856794831998	0.5	9	b2
12.008853627638	0.5	999	.0
15.0109352371037	0.5	16	z2
18.0128235571574	0.5	11	d2
21.0147272755239	0.5	13	m2
24.0166512548385	0.5	7	v1
27.0169101897154	0.5	999	.0
30.0186891006633	0.5	8	z1
33.0204915143113	0.5	1	b1
36.0223453907565	0.5	3	d1
39.0243398781568	0.5	6	n1
42.0244351045985	0.5	999	.0
45.0264794339237	0.5	5	m1
48.0285071492763	0.5	2	c1
51.028647355015	0.5	999	.0
54.0307346375412	0.5	15	v2
57.0328924281603	0.5	12	l2
60.0346300067831	0.5	14	n2
63.0365227842412	0.5	7	v1
66.0384512209639	0.5	100	e1
69.0403820889987	0.5	8	z1
72.0423704981185	0.5	16	z2
75.0441494090664	0.5	9	b2
78.044427794448	0.5	999	.0
81.0463570416105	0.5	13	m2
84.0480893523854	0.5	2	c1
87.0481870101394	0.5	999	.0
90.050269024825	0.5	12	l2
93.052152482247	0.5	11	d2
96.0540533640851	0.5	5	m1
99.054200863764	0.5	999	.0
102.056257349657	0.5	15	v2
105.058077187714	0.5	3	d1
108.060127595323	0.5	6	n1
111.060392203264	0.5	999	.0
114.062386285445	0.5	14	n2
117.064325257859	0.5	4	l1
120.066049464258	0.5	10	c2
123.067953182628	0.5	1	b1
126.069948075248	0.5	300	o2
129.07184814665	0.5	5	m1
132.0739123317	0.5	8	z1
135.075810782226	0.5	16	z2
138.075886152939	0.5	999	.0
141.077710853624	0.5	4	l1
144.079508809864	0.5	12	l2
147.079774633457	0.5	999	.0
150.081510591204	0.5	11	d2
153.083367304182	0.5	2	c1
156.083486843756	0.5	999	.0
159.085361791585	0.5	1	b1
162.087269156924	0.5	15	v2
165.089114928993	0.5	9	b2
168.09094246621	0.5	14	n2
171.09107132582	0.5	999	.0
174.092881843841	0.5	6	n1
177.094791640495	0.5	3	d1
180.096500448577	0.5	10	c2
183.09852775871	0.5	7	v1
186.100336655858	0.5	400	o2
189.102332764134	0.5	13	m2
192.104120995118	0.5	14	n2
195.104285513989	0.5	999	.0
198.106085901542	0.5	6	n1
201.108012312168	0.5	13	m2
204.109961820275	0.5	3	d1
207.111835147225	0.5	4	l1
210.111938072827	0.5	999	.0
213.113776956172	0.5	1	b1
216.115649067469	0.5	11	d2
219.115850866478	0.5	999	.0
222.117642744433	0.5	5	m1
225.119635610958	0.5	8	z1
228.12153568236	0.5	2	c1
231.12364363105	0.5	12	l2
234.123709276511	0.5	999	.0
237.125571662556	0.5	9	b2
240.127475786143	0.5	16	z2
243.127709597447	0.5	999	.0
246.129727587544	0.5	7	v1
249.131688441779	0.5	15	v2
252.133577167049	0.5	200	e1
255.13542455999	0.5	10	c2
258.137274789467	0.5	8	z1
261.139086117928	0.5	9	b2
264.139286296064	0.5	999	.0
267.141227699791	0.5	12	l2
270.143212056719	0.5	15	v2
273.144985294606	0.5	7	v1
276.146823772731	0.5	4	l1
279.147008147331	0.5	999	.0
282.148713308441	0.5	16	z2
285.150589877143	0.5	13	m2
288.152417009143	0.5	2	c1
291.152602599395	0.5	999	.0
294.154417169608	0.5	1	b1
297.156241059856	0.5	3	d1
300.158172738331	0.5	11	d2
303.158381831279	0.5	999	.0
306.160431833672	0.5	14	n2
309.162365133019	0.5	10	c2
312.164123783026	0.5	5	m1
315.165903504414	0.5	400	o2
318.167678363174	0.5	6	n1
321.167814111504	0.5	999	.0
