filename	acq_time	operator	randstr
func/sub-10_ses-02_task-letters_run-01_bold.nii.gz	2020-09-26T09:44:13.460000	n/a	21efa79f
func/sub-10_ses-02_task-letters_run-02_bold.nii.gz	2020-09-26T09:50:46.877500	n/a	1aaca991
func/sub-10_ses-02_task-letters_run-03_bold.nii.gz	2020-09-26T10:00:24.450000	n/a	cbe83858
func/sub-10_ses-02_task-letters_run-04_bold.nii.gz	2020-09-26T10:06:54.795000	n/a	68c3b930
func/sub-10_ses-02_task-letters_run-05_bold.nii.gz	2020-09-26T10:25:59.537500	n/a	6fa7fa54
func/sub-10_ses-02_task-letters_run-06_bold.nii.gz	2020-09-26T10:32:33.095000	n/a	ada9a28e
func/sub-10_ses-02_task-letters_run-07_bold.nii.gz	2020-09-26T10:40:49.812500	n/a	c23cf833
func/sub-10_ses-02_task-letters_run-08_bold.nii.gz	2020-09-26T10:47:18.170000	n/a	07d2b487
func/sub-10_ses-02_task-letters_run-09_bold.nii.gz	2020-09-26T10:56:43.365000	n/a	c42861eb
func/sub-10_ses-02_task-letters_run-010_bold.nii.gz	2020-09-26T11:03:11.825000	n/a	f5d8abdb
func/sub-10_ses-02_task-letters_run-011_bold.nii.gz	2020-09-26T11:12:21.515000	n/a	56371e61
func/sub-10_ses-02_task-letters_run-012_bold.nii.gz	2020-09-26T11:18:44.822500	n/a	0641f248
func/sub-10_ses-02_task-letters_run-013_bold.nii.gz	2020-09-26T11:27:41.375000	n/a	fc36318d
func/sub-10_ses-02_task-letters_run-014_bold.nii.gz	2020-09-26T11:34:09.382500	n/a	ef79c14e
func/sub-10_ses-02_task-letters_run-015_bold.nii.gz	2020-09-26T11:42:47.705000	n/a	daa41022
func/sub-10_ses-02_task-letters_run-016_bold.nii.gz	2020-09-26T11:49:13.332500	n/a	81cc420e
