onset	duration	trial_type	value
3.00213914188134	0.5	5	m1
6.0042158803044	0.5	9	b2
9.00625858047715	0.5	6	n1
12.0063432708812	0.5	999	.0
15.0083239728156	0.5	7	v1
18.0105072833758	0.5	13	m2
21.0105903529147	0.5	999	.0
24.0128834773495	0.5	14	n2
27.0149464383867	0.5	16	z2
30.0170636985313	0.5	11	d2
33.0188997379082	0.5	4	l1
36.0190991047966	0.5	999	.0
39.0212597231912	0.5	12	l2
42.0233307885719	0.5	3	d1
45.0233688789922	0.5	999	.0
48.0255805547604	0.5	10	c2
51.0275373488766	0.5	8	z1
54.0296910785764	0.5	2	c1
57.0298705898203	0.5	999	.0
60.0318209004581	0.5	1	b1
63.0337667537096	0.5	15	v2
66.0357105808725	0.5	16	z2
69.0377792149484	0.5	200	e1
72.0404439236081	0.5	10	c2
75.0425214724637	0.5	1	b1
78.0446034787092	0.5	12	l2
81.044693031723	0.5	999	.0
84.0467843579681	0.5	3	d1
87.048817332925	0.5	11	d2
90.0510537269474	0.5	5	m1
93.0530826497343	0.5	4	l1
96.0531434323202	0.5	999	.0
99.0553166124519	0.5	14	n2
102.057402265651	0.5	7	v1
105.057456159546	0.5	999	.0
108.059581929258	0.5	9	b2
111.061547232934	0.5	8	z1
114.063761340007	0.5	13	m2
117.065733937594	0.5	6	n1
120.06588954102	0.5	999	.0
123.067946423798	0.5	15	v2
126.07011879349	0.5	2	c1
129.072299672749	0.5	12	l2
132.074143816466	0.5	100	e1
135.076404928739	0.5	3	d1
138.078541234099	0.5	14	n2
141.080686454236	0.5	6	n1
144.080959570667	0.5	999	.0
147.082832484812	0.5	2	c1
150.084867080637	0.5	4	l1
153.086990013828	0.5	10	c2
156.089018531398	0.5	13	m2
159.089231675673	0.5	999	.0
162.091330295825	0.5	11	d2
165.093355976875	0.5	9	b2
168.093406629032	0.5	999	.0
171.095388546619	0.5	8	z1
174.097665867579	0.5	15	v2
177.097706389304	0.5	999	.0
180.099801767723	0.5	5	m1
183.101792600086	0.5	1	b1
186.10390621328	0.5	7	v1
189.106137339473	0.5	16	z2
192.10801592666	0.5	400	o2
195.109984472077	0.5	16	z2
198.112050674852	0.5	6	n1
201.114225881065	0.5	10	c2
204.114473874026	0.5	999	.0
207.11651009072	0.5	14	n2
210.118767150823	0.5	15	v2
213.121011243969	0.5	8	z1
216.12295871809	0.5	13	m2
219.123208331916	0.5	999	.0
222.12524049644	0.5	1	b1
225.127249563582	0.5	5	m1
228.129277675936	0.5	11	d2
231.129500140207	0.5	999	.0
234.131685476852	0.5	4	l1
237.133766267449	0.5	7	v1
240.135610005949	0.5	3	d1
243.137800610421	0.5	2	c1
246.138040499034	0.5	999	.0
249.14030282696	0.5	12	l2
252.142435485363	0.5	9	b2
255.144422670772	0.5	1	b1
258.146461723991	0.5	300	o2
261.148484163299	0.5	5	m1
264.150547529553	0.5	10	c2
267.150696649504	0.5	999	.0
270.15257969408	0.5	15	v2
273.15464346555	0.5	14	n2
276.154873628948	0.5	999	.0
279.15704640386	0.5	2	c1
282.159098424032	0.5	9	b2
285.159304274395	0.5	999	.0
288.161526891028	0.5	8	z1
291.163573643375	0.5	12	l2
294.165578253127	0.5	11	d2
297.167599882003	0.5	7	v1
300.16786124713	0.5	999	.0
303.169854916017	0.5	16	z2
306.171814951871	0.5	13	m2
309.172067402218	0.5	999	.0
312.174123879777	0.5	6	n1
315.176294223387	0.5	3	d1
318.178463756562	0.5	4	l1
321.180436354149	0.5	100	e1
