onset	duration	trial_type	value
3.00217683590563	0.5	8	z1
6.00418469553006	0.5	13	m2
9.00598103089214	0.5	12	l2
12.0061001652484	0.5	999	.0
15.0084427356815	0.5	14	n2
18.0103659045581	0.5	16	z2
21.0123660650243	0.5	6	n1
24.0145481687759	0.5	7	v1
27.0145899063209	0.5	999	.0
30.0165916876631	0.5	2	c1
33.0187316486499	0.5	4	l1
36.0189087293056	0.5	999	.0
39.0207913762933	0.5	1	b1
42.0228924362655	0.5	3	d1
45.025210288346	0.5	10	c2
48.0271735738934	0.5	11	d2
51.0273158057244	0.5	999	.0
54.0294168656965	0.5	5	m1
57.0314652472116	0.5	15	v2
60.0334135396606	0.5	9	b2
63.0355437753915	0.5	400	o2
66.0375556872059	0.5	2	c1
69.0398390956816	0.5	10	c2
72.0400830374565	0.5	999	.0
75.0422306975997	0.5	13	m2
78.0444338727339	0.5	4	l1
81.0463355650081	0.5	9	b2
84.0482530608206	0.5	1	b1
87.048373816051	0.5	999	.0
90.0502366073124	0.5	11	d2
93.0523028184598	0.5	3	d1
96.0524774678033	0.5	999	.0
99.0544727656434	0.5	8	z1
102.056529251537	0.5	6	n1
105.05670025391	0.5	999	.0
108.058884788974	0.5	12	l2
111.061132943405	0.5	14	n2
114.061169818324	0.5	999	.0
117.063335308099	0.5	16	z2
120.065464328176	0.5	7	v1
123.067509467939	0.5	15	v2
126.069484099617	0.5	100	e1
129.071592048309	0.5	5	m1
132.07355371298	0.5	7	v1
135.073709317036	0.5	999	.0
138.075817670948	0.5	13	m2
141.077920757014	0.5	15	v2
144.079922538356	0.5	5	m1
147.079986562941	0.5	999	.0
150.082133007429	0.5	16	z2
153.084117769578	0.5	3	d1
156.086179118098	0.5	6	n1
159.088201970822	0.5	8	z1
162.088432945593	0.5	999	.0
165.090444046969	0.5	9	b2
168.092404495985	0.5	4	l1
171.092445423094	0.5	999	.0
174.094822842351	0.5	12	l2
177.096696169303	0.5	11	d2
180.098749818664	0.5	1	b1
183.100914498003	0.5	10	c2
186.103099438285	0.5	200	e1
189.105228053142	0.5	14	n2
192.107184855187	0.5	2	c1
195.109291183004	0.5	4	l1
198.109457727969	0.5	999	.0
201.111495573794	0.5	9	b2
204.113610005988	0.5	15	v2
207.115768607044	0.5	12	l2
210.117660168846	0.5	1	b1
213.117923561129	0.5	999	.0
216.120038803761	0.5	7	v1
219.121856615726	0.5	11	d2
222.124120573693	0.5	5	m1
225.126257698146	0.5	10	c2
228.126375616845	0.5	999	.0
231.128424808798	0.5	16	z2
234.130608938642	0.5	14	n2
237.132739174374	0.5	13	m2
240.132911392406	0.5	999	.0
243.134920467688	0.5	8	z1
246.137089604434	0.5	6	n1
249.139302910038	0.5	300	o2
252.141322521013	0.5	2	c1
255.14348031163	0.5	3	d1
258.145734139125	0.5	7	v1
261.147659334096	0.5	1	b1
264.147859917448	0.5	999	.0
267.149969487016	0.5	9	b2
270.152079461805	0.5	13	m2
273.152320972265	0.5	999	.0
276.154524552618	0.5	3	d1
279.156525118304	0.5	11	d2
282.158526089208	0.5	6	n1
285.160431428454	0.5	12	l2
288.160618234364	0.5	999	.0
291.162655269751	0.5	14	n2
294.164773348915	0.5	8	z1
297.166673825534	0.5	16	z2
300.166875624544	0.5	999	.0
303.16900748115	0.5	5	m1
306.17098130239	0.5	10	c2
309.173069395356	0.5	2	c1
312.175211787655	0.5	100	e1
315.177286913618	0.5	4	l1
318.179456050364	0.5	15	v2
321.179770500226	0.5	999	.0
