onset	duration	trial_type	value
3.002141581861	0.5	11	d2
6.00421468172863	0.5	2	c1
9.00629385988032	0.5	14	n2
12.0063951646043	0.5	999	.0
15.0085071654867	0.5	8	z1
18.0105296129914	0.5	6	n1
21.0125500344038	0.5	9	b2
24.0127121219612	0.5	999	.0
27.0146908058268	0.5	10	c2
30.0166127590473	0.5	13	m2
33.0167756570427	0.5	999	.0
36.018837410782	0.5	12	l2
39.0208258199	0.5	1	b1
42.0210012796815	0.5	999	.0
45.0230849152413	0.5	4	l1
48.0251239767222	0.5	15	v2
51.0252082622519	0.5	999	.0
54.0272355723846	0.5	3	d1
57.02919561618	0.5	5	m1
60.0311512025692	0.5	16	z2
63.032981576318	0.5	7	v1
66.0351879932023	0.5	100	e1
69.0374102136229	0.5	14	n2
72.0392430186876	0.5	5	m1
75.0394695360483	0.5	999	.0
78.0417338992356	0.5	4	l1
81.0437385171099	0.5	3	d1
84.0455575447304	0.5	7	v1
87.0456868095589	0.5	999	.0
90.0479061934475	0.5	12	l2
93.0498512441445	0.5	16	z2
96.0519235335742	0.5	11	d2
99.0538924921857	0.5	15	v2
102.053963405493	0.5	999	.0
105.055998009566	0.5	13	m2
108.057844592071	0.5	9	b2
111.060097609128	0.5	2	c1
114.062146801081	0.5	1	b1
117.06240006289	0.5	999	.0
120.064182215592	0.5	10	c2
123.066282059906	0.5	6	n1
126.068427288737	0.5	8	z1
129.070500388605	0.5	300	o2
132.072434498392	0.5	4	l1
135.074544878398	0.5	5	m1
138.074768154009	0.5	999	.0
141.076998073589	0.5	14	n2
144.079113721442	0.5	12	l2
147.079237718424	0.5	999	.0
150.081414959548	0.5	2	c1
153.083455236685	0.5	15	v2
156.085662869225	0.5	7	v1
159.087627775649	0.5	11	d2
162.087829169439	0.5	999	.0
165.089881197924	0.5	6	n1
168.091923501157	0.5	9	b2
171.093975124422	0.5	13	m2
174.096144666388	0.5	1	b1
177.096395091665	0.5	999	.0
180.098446714932	0.5	10	c2
183.100558310594	0.5	8	z1
186.102489583849	0.5	16	z2
189.104668040629	0.5	3	d1
192.106693324668	0.5	400	o2
195.108789116794	0.5	6	n1
198.110836687871	0.5	3	d1
201.112947878315	0.5	10	c2
204.114949659657	0.5	7	v1
207.11509189149	0.5	999	.0
210.117234689007	0.5	15	v2
213.119332912447	0.5	4	l1
216.121559590276	0.5	13	m2
219.121700201233	0.5	999	.0
222.123602298727	0.5	5	m1
225.125683908191	0.5	2	c1
228.127790641227	0.5	11	d2
231.127829137022	0.5	999	.0
234.129862120219	0.5	14	n2
237.131879705099	0.5	8	z1
240.131936435744	0.5	999	.0
243.134016424332	0.5	16	z2
246.136050623187	0.5	1	b1
249.137995673884	0.5	12	l2
252.139828884165	0.5	200	e1
255.14190644144	0.5	9	b2
258.143967384742	0.5	9	b2
261.144054912023	0.5	999	.0
264.146406397273	0.5	4	l1
267.148338886183	0.5	1	b1
270.150405502549	0.5	12	l2
273.152584364549	0.5	6	n1
276.152768333926	0.5	999	.0
279.154704875027	0.5	15	v2
282.156710303339	0.5	5	m1
285.159098258289	0.5	14	n2
288.159143642804	0.5	999	.0
291.161289682073	0.5	13	m2
294.163483537171	0.5	2	c1
297.16373396245	0.5	999	.0
300.165846368551	0.5	10	c2
303.168090470792	0.5	3	d1
306.170176132446	0.5	8	z1
309.170328494751	0.5	999	.0
312.172254500159	0.5	16	z2
315.174409454243	0.5	11	d2
318.176497952429	0.5	7	v1
321.178671951802	0.5	100	e1
