filename	acq_time	operator	randstr
anat/sub-10_ses-01_acq-defaced_T1w.nii.gz	2020-09-25T15:18:42.475000	n/a	398872f2
func/sub-10_ses-01_task-localizer_run-01_bold.nii.gz	2020-09-25T15:27:20.512500	n/a	ddfb74d5
func/sub-10_ses-01_task-letters_run-01_bold.nii.gz	2020-09-25T15:37:03.227500	n/a	de0b9203
func/sub-10_ses-01_task-letters_run-02_bold.nii.gz	2020-09-25T15:43:51.940000	n/a	3e2f9677
func/sub-10_ses-01_task-letters_run-03_bold.nii.gz	2020-09-25T15:53:37.870000	n/a	10c7f507
func/sub-10_ses-01_task-letters_run-04_bold.nii.gz	2020-09-25T16:00:08.755000	n/a	703990e8
func/sub-10_ses-01_task-letters_run-05_bold.nii.gz	2020-09-25T16:10:01.922500	n/a	428350bd
func/sub-10_ses-01_task-letters_run-06_bold.nii.gz	2020-09-25T16:16:29.505000	n/a	b770e080
func/sub-10_ses-01_task-letters_run-07_bold.nii.gz	2020-09-25T16:25:58.887500	n/a	7fba0177
func/sub-10_ses-01_task-letters_run-08_bold.nii.gz	2020-09-25T16:32:22.322500	n/a	ca8bbe56
func/sub-10_ses-01_task-letters_run-09_bold.nii.gz	2020-09-25T16:41:39.955000	n/a	4229287c
func/sub-10_ses-01_task-letters_run-010_bold.nii.gz	2020-09-25T16:48:02.702500	n/a	f46dd371
