onset	duration	trial_type	value
3.00217644744407	0.5	9	b2
6.00431601968376	0.5	8	z1
9.00651759089124	0.5	10	c2
12.0086993062196	0.5	1	b1
15.00879777517	0.5	999	.0
18.0110155552575	0.5	16	z2
21.0133196476363	0.5	2	c1
24.0135421145224	0.5	999	.0
27.0154134297882	0.5	3	d1
30.0178844736347	0.5	12	l2
33.0198704667309	0.5	5	m1
36.0220570447236	0.5	6	n1
39.0222288588593	0.5	999	.0
42.0247740583363	0.5	13	m2
45.0268650039325	0.5	7	v1
48.0269111992438	0.5	999	.0
51.0290284842722	0.5	4	l1
54.0313232565422	0.5	15	v2
57.0315931344048	0.5	999	.0
60.0338182084888	0.5	14	n2
63.0358285149068	0.5	11	d2
66.0382910490916	0.5	16	z2
69.0402835257391	0.5	400	o2
72.0424603784049	0.5	12	l2
75.0443357458898	0.5	4	l1
78.0445894148725	0.5	999	.0
81.0465531207574	0.5	3	d1
84.0486481185744	0.5	14	n2
87.048800076831	0.5	999	.0
90.0508334809019	0.5	13	m2
93.0528348724347	0.5	10	c2
96.0529463084895	0.5	999	.0
99.0552224405474	0.5	5	m1
102.057233557409	0.5	9	b2
105.057273269165	0.5	999	.0
108.059207799066	0.5	1	b1
111.061035755576	0.5	15	v2
114.061217295039	0.5	999	.0
117.063050114213	0.5	7	v1
120.06515321647	0.5	6	n1
123.067762441025	0.5	8	z1
126.069737087904	0.5	11	d2
129.071689042352	0.5	200	e1
132.07379822294	0.5	2	c1
135.075781379481	0.5	4	l1
138.077976061915	0.5	8	z1
141.078136935055	0.5	999	.0
144.080172770458	0.5	14	n2
147.082100411584	0.5	1	b1
150.084228232387	0.5	6	n1
153.086372262067	0.5	10	c2
156.086638087709	0.5	999	.0
159.088510213418	0.5	13	m2
162.090447985094	0.5	5	m1
165.092861487417	0.5	9	b2
168.094926904027	0.5	15	v2
171.094963374009	0.5	999	.0
174.097308799031	0.5	3	d1
177.099178898632	0.5	7	v1
180.101484611898	0.5	12	l2
183.103756286513	0.5	16	z2
186.103816664594	0.5	999	.0
189.105826565788	0.5	11	d2
192.108232368892	0.5	2	c1
195.11029900117	0.5	14	n2
198.11231417025	0.5	300	o2
201.114492643803	0.5	9	b2
204.116646804036	0.5	3	d1
207.118801369488	0.5	1	b1
210.118899838439	0.5	999	.0
213.120914197076	0.5	15	v2
216.12331027485	0.5	12	l2
219.125486317071	0.5	5	m1
222.12559451135	0.5	999	.0
225.127948851257	0.5	16	z2
228.13012935092	0.5	7	v1
231.132319575911	0.5	4	l1
234.13424194915	0.5	6	n1
237.134292196681	0.5	999	.0
240.136141224735	0.5	11	d2
243.138395474805	0.5	8	z1
246.140482368182	0.5	10	c2
249.142498347708	0.5	13	m2
252.142654358184	0.5	999	.0
255.144789067759	0.5	2	c1
258.146801400286	0.5	14	n2
261.149017964708	0.5	2	c1
264.151140922844	0.5	100	e1
267.15317311125	0.5	9	b2
270.155040374297	0.5	15	v2
273.157276389375	0.5	13	m2
276.159333701546	0.5	4	l1
279.159586154861	0.5	999	.0
282.161768680635	0.5	12	l2
285.164062642461	0.5	8	z1
288.165930310728	0.5	6	n1
291.16597893737	0.5	999	.0
294.168001400449	0.5	11	d2
297.169957407115	0.5	1	b1
300.171816970942	0.5	10	c2
303.171882616909	0.5	999	.0
306.173950059629	0.5	3	d1
309.176193773927	0.5	7	v1
312.176334385966	0.5	999	.0
315.178354012489	0.5	5	m1
318.180566119468	0.5	16	z2
321.180766299145	0.5	999	.0
