onset	duration	trial_type
4.01160438690022	14.4	Letters_Right
18.4019251287482	14.4	Letters_Left
32.8085665097424	14.4	Nonsense_Right
47.2150954925946	14.4	Nonsense_Left
61.5100565973589	14.4	Null
76.0115472065409	14.4	Letters_Left
90.4015729634466	14.4	Letters_Right
104.808088069332	14.4	Nonsense_Left
119.214517240778	14.4	Nonsense_Right
133.509117697949	14.4	Null
148.011059724457	14.4	Nonsense_Right
162.417701637462	14.4	Letters_Left
176.807590861919	14.4	Letters_Right
191.214225354139	14.4	Nonsense_Left
205.508637915083	14.4	Null
220.010642345782	14.4	Nonsense_Right
234.417174038397	14.4	Letters_Right
248.807217398864	14.4	Nonsense_Left
263.213765553941	14.4	Letters_Left
277.508263489943	14.4	Null
292.010224561884	14.4	Nonsense_Right
306.416788672261	14.4	Nonsense_Left
320.806667360946	14.4	Letters_Left
335.21329861139	14.4	Letters_Right
349.507736701322	14.4	Null
364.009713982145	14.4	Letters_Left
378.41634563781	14.4	Letters_Right
392.806188793747	14.4	Nonsense_Right
407.212794641991	14.4	Nonsense_Left
421.507280826556	14.4	Null
