onset	duration	trial_type	value
3.00200705732095	0.5	2	c1
6.00423495983341	0.5	1	b1
9.00446431465753	0.5	999	.0
12.0066059051969	0.5	7	v1
15.0087653254395	0.5	14	n2
18.0106532479222	0.5	16	z2
21.0128106420634	0.5	10	c2
24.0130481012984	0.5	999	.0
27.014949396058	0.5	9	b2
30.0169601003636	0.5	11	d2
33.0190214572376	0.5	5	m1
36.0190765672305	0.5	999	.0
39.0210159527214	0.5	15	v2
42.023196444432	0.5	3	d1
45.0252679318182	0.5	13	m2
48.0253364140899	0.5	999	.0
51.0275789045427	0.5	6	n1
54.0296443136212	0.5	12	l2
57.0315273734577	0.5	8	z1
60.0333857148398	0.5	400	o2
63.0354681431818	0.5	4	l1
66.037377947574	0.5	16	z2
69.0375351731418	0.5	999	.0
72.0397095865446	0.5	12	l2
75.0415274058741	0.5	3	d1
78.0435859262034	0.5	14	n2
81.0437107341295	0.5	999	.0
84.0459759169316	0.5	6	n1
87.0477690178086	0.5	9	b2
90.0479736541802	0.5	999	.0
93.0499166866575	0.5	15	v2
96.0520189708041	0.5	11	d2
99.0521972678398	0.5	999	.0
102.054129764583	0.5	7	v1
105.056227186084	0.5	4	l1
108.05842793882	0.5	5	m1
111.058697005257	0.5	999	.0
114.060832922709	0.5	1	b1
117.062950605237	0.5	8	z1
120.065065451221	0.5	10	c2
123.067196100805	0.5	100	e1
126.069367677665	0.5	2	c1
129.071484549751	0.5	13	m2
132.071725655971	0.5	999	.0
135.073733118512	0.5	16	z2
138.07594157044	0.5	11	d2
141.077928771954	0.5	13	m2
144.080086166094	0.5	6	n1
147.08032484099	0.5	999	.0
150.082147928188	0.5	14	n2
153.084194697121	0.5	7	v1
156.084443502532	0.5	999	.0
159.086552675428	0.5	3	d1
162.088461669378	0.5	8	z1
165.088736814123	0.5	999	.0
168.0908909665	0.5	9	b2
171.093045929316	0.5	10	c2
174.095223584483	0.5	1	b1
177.095427815633	0.5	999	.0
180.09734126701	0.5	5	m1
183.099926979259	0.5	12	l2
186.102049929654	0.5	2	c1
189.104230421364	0.5	4	l1
192.106265844122	0.5	300	o2
195.108254666518	0.5	15	v2
198.110308324201	0.5	1	b1
201.112626185675	0.5	7	v1
204.114604877557	0.5	15	v2
207.11483220628	0.5	999	.0
210.116888700506	0.5	8	z1
213.119205751538	0.5	12	l2
216.121189306066	0.5	16	z2
219.123101947003	0.5	13	m2
222.123232428015	0.5	999	.0
225.125239080116	0.5	6	n1
228.127272881993	0.5	14	n2
231.127543974531	0.5	999	.0
234.129562378028	0.5	4	l1
237.131730713123	0.5	11	d2
240.133930250198	0.5	2	c1
243.133990628059	0.5	999	.0
246.136183276385	0.5	3	d1
249.138330540012	0.5	5	m1
252.140454706068	0.5	9	b2
255.14248526618	0.5	10	c2
258.144592818195	0.5	200	e1
261.146708069398	0.5	5	m1
264.14886546354	0.5	9	b2
267.150998544446	0.5	13	m2
270.151236408903	0.5	999	.0
273.153300197098	0.5	15	v2
276.155576320856	0.5	10	c2
279.157509222819	0.5	1	b1
282.159630957551	0.5	3	d1
285.159718890409	0.5	999	.0
288.161760796695	0.5	11	d2
291.163862270401	0.5	6	n1
294.165816243833	0.5	2	c1
297.167849235268	0.5	12	l2
300.168066433474	0.5	999	.0
303.170273669741	0.5	16	z2
306.172147004285	0.5	7	v1
309.174387063415	0.5	14	n2
312.176403440808	0.5	8	z1
315.176447204625	0.5	999	.0
318.178429543494	0.5	4	l1
321.18063596932	0.5	400	o2
