onset	duration	trial_type
4.01191620323698	14.4	Letters_Left
18.4018183015341	14.4	Nonsense_Right
32.8081718353824	14.4	Letters_Right
47.2146570659042	14.4	Nonsense_Left
61.5096316828894	14.4	Null
76.0110649479302	14.4	Nonsense_Left
90.4174914214727	14.4	Letters_Left
104.807292912037	14.4	Letters_Right
119.213934152465	14.4	Nonsense_Right
133.508324846656	14.4	Null
148.010384056268	14.4	Letters_Left
162.416751083552	14.4	Letters_Right
176.806702100494	14.4	Nonsense_Right
191.213059281326	14.4	Nonsense_Left
205.507378656703	14.4	Null
220.009452575412	14.4	Nonsense_Left
234.415913492701	14.4	Letters_Left
248.805840601632	14.4	Nonsense_Right
263.212204265992	14.4	Letters_Right
277.506902927791	14.4	Null
292.008594318315	14.4	Nonsense_Right
306.415189363601	14.4	Nonsense_Left
320.804946685126	14.4	Letters_Left
335.211514580638	14.4	Letters_Right
349.505886634684	14.4	Null
364.007889639801	14.4	Nonsense_Right
378.414349341429	14.4	Letters_Left
392.804280907783	14.4	Nonsense_Left
407.210749524264	14.4	Letters_Right
421.505333913872	14.4	Null
