onset	duration	trial_type	value
3.00197342401589	0.5	11	d2
6.00385364730937	0.5	7	v1
9.0059182459463	0.5	14	n2
12.0086713142755	0.5	1	b1
15.0089403807124	0.5	999	.0
18.0109219091391	0.5	13	m2
21.01299704351	0.5	5	m1
24.015011800022	0.5	15	v2
27.0169937336686	0.5	8	z1
30.0172003961434	0.5	999	.0
33.0193294248456	0.5	4	l1
36.0214349507569	0.5	10	c2
39.0215877189003	0.5	999	.0
42.023854117364	0.5	2	c1
45.0261549595743	0.5	6	n1
48.0262850353683	0.5	999	.0
51.0282321200484	0.5	12	l2
54.0303121170673	0.5	3	d1
57.0323167430633	0.5	9	b2
60.0344595492643	0.5	100	e1
63.0363734058628	0.5	16	z2
66.038557544558	0.5	12	l2
69.0403745534477	0.5	13	m2
72.0425432937627	0.5	4	l1
75.0426604024979	0.5	999	.0
78.0446257221029	0.5	16	z2
81.0468212069736	0.5	11	d2
84.0469857265125	0.5	999	.0
87.0489632027329	0.5	7	v1
90.0509143396193	0.5	14	n2
93.0531799276432	0.5	6	n1
96.0533403949757	0.5	999	.0
99.0552647873083	0.5	9	b2
102.05736301925	0.5	8	z1
105.057498362909	0.5	999	.0
108.059691011236	0.5	1	b1
111.061872313388	0.5	2	c1
114.062102883874	0.5	999	.0
117.064258657132	0.5	15	v2
120.066238564676	0.5	5	m1
123.068237112366	0.5	3	d1
126.07017811874	0.5	10	c2
129.072439654557	0.5	300	o2
132.074663099645	0.5	3	d1
135.076905995318	0.5	16	z2
138.078953169474	0.5	4	l1
141.079219804586	0.5	999	.0
144.081188771177	0.5	1	b1
147.08328092481	0.5	8	z1
150.083526083235	0.5	999	.0
153.085523820484	0.5	7	v1
156.087559243242	0.5	2	c1
159.089376657352	0.5	6	n1
162.089499439175	0.5	999	.0
165.091548639431	0.5	9	b2
168.093607564981	0.5	15	v2
171.095665274868	0.5	13	m2
174.097473368905	0.5	10	c2
177.097622490064	0.5	999	.0
180.099559849452	0.5	12	l2
183.101979016059	0.5	5	m1
186.103929747725	0.5	11	d2
189.105919785785	0.5	14	n2
192.108012344639	0.5	400	o2
195.110300625012	0.5	12	l2
198.11253095885	0.5	10	c2
201.11257715399	0.5	999	.0
204.114554630212	0.5	3	d1
207.11650657754	0.5	5	m1
210.11852781758	0.5	13	m2
213.118772976004	0.5	999	.0
216.120854999124	0.5	15	v2
219.123012393266	0.5	11	d2
222.125200584165	0.5	2	c1
225.125347679221	0.5	999	.0
228.127590574893	0.5	4	l1
231.129617893243	0.5	1	b1
234.131718556508	0.5	7	v1
237.131809731129	0.5	999	.0
240.133793690879	0.5	14	n2
243.135825061432	0.5	16	z2
246.136036586551	0.5	999	.0
249.137923698594	0.5	6	n1
252.139714773368	0.5	9	b2
255.141763568405	0.5	8	z1
258.143790481532	0.5	13	m2
261.146312574156	0.5	200	e1
264.148187529581	0.5	8	z1
267.150426373049	0.5	10	c2
270.152601191672	0.5	1	b1
273.154722521185	0.5	15	v2
276.154882988518	0.5	999	.0
279.157108054487	0.5	11	d2
282.159084315048	0.5	2	c1
285.159192103711	0.5	999	.0
288.161356386599	0.5	12	l2
291.163360607377	0.5	6	n1
294.165378200432	0.5	4	l1
297.165486394315	0.5	999	.0
300.16760205074	0.5	3	d1
303.169421085731	0.5	16	z2
306.171525395981	0.5	9	b2
309.173409671479	0.5	7	v1
312.17355311955	0.5	999	.0
315.175528569669	0.5	14	n2
318.177615860655	0.5	5	m1
321.179596983862	0.5	300	o2
