onset	duration	trial_type	value
3.00204150106583	0.5	8	z1
6.00419767954372	0.5	15	v2
9.00611599356671	0.5	10	c2
12.0063181986152	0.5	999	.0
15.0083414647579	0.5	5	m1
18.0104380758185	0.5	4	l1
21.0105389757318	0.5	999	.0
24.0127449963366	0.5	2	c1
27.0146718199903	0.5	11	d2
30.0169305192649	0.5	7	v1
33.0189801247416	0.5	6	n1
36.0192358189015	0.5	999	.0
39.0213064958461	0.5	3	d1
42.0232880242729	0.5	1	b1
45.0234695630734	0.5	999	.0
48.025589271705	0.5	9	b2
51.0275626957209	0.5	14	n2
54.0297982974243	0.5	12	l2
57.0299117591749	0.5	999	.0
60.031913143408	0.5	13	m2
63.0338018763323	0.5	16	z2
66.0357979926994	0.5	400	o2
69.0379456615465	0.5	10	c2
72.0398145386644	0.5	6	n1
75.0399332682809	0.5	999	.0
78.0421623864568	0.5	4	l1
81.0442310372982	0.5	8	z1
84.0461777167602	0.5	7	v1
87.0462834793198	0.5	999	.0
90.0480895472538	0.5	3	d1
93.0500252857601	0.5	5	m1
96.0500714809023	0.5	999	.0
99.0522349533494	0.5	16	z2
102.054298741547	0.5	12	l2
105.056575675744	0.5	11	d2
108.058553151966	0.5	15	v2
111.058748468266	0.5	999	.0
114.060755120367	0.5	13	m2
117.062748805409	0.5	14	n2
120.064806110076	0.5	2	c1
123.067029960384	0.5	1	b1
126.069057683953	0.5	200	e1
129.071200084933	0.5	9	b2
132.073186070786	0.5	2	c1
135.075375072129	0.5	1	b1
138.075574845854	0.5	999	.0
141.077583929276	0.5	16	z2
144.079719846728	0.5	15	v2
147.081851306755	0.5	14	n2
150.082179940609	0.5	999	.0
153.084293165712	0.5	6	n1
156.086306706562	0.5	9	b2
159.088351854612	0.5	10	c2
162.09035607539	0.5	7	v1
165.09059718161	0.5	999	.0
168.092624905177	0.5	13	m2
171.094840245854	0.5	11	d2
174.096922674195	0.5	4	l1
177.098935404603	0.5	3	d1
180.099005912978	0.5	999	.0
183.101116301536	0.5	5	m1
186.103132678929	0.5	12	l2
189.105149056322	0.5	100	e1
192.107231484662	0.5	8	z1
195.109374696083	0.5	5	m1
198.109649435608	0.5	999	.0
201.111734295271	0.5	8	z1
204.113765665825	0.5	14	n2
207.115720044476	0.5	13	m2
210.117659024747	0.5	1	b1
213.117888784791	0.5	999	.0
216.120118308187	0.5	11	d2
219.122208030498	0.5	15	v2
222.124236159287	0.5	9	b2
225.124428639041	0.5	999	.0
228.126395174309	0.5	3	d1
231.128480844414	0.5	2	c1
234.130638643775	0.5	7	v1
237.13091459896	0.5	999	.0
240.132997432522	0.5	6	n1
243.135089180934	0.5	10	c2
246.135185623423	0.5	999	.0
249.137578855916	0.5	4	l1
252.139764210273	0.5	12	l2
255.14179841737	0.5	16	z2
258.143976072537	0.5	9	b2
261.146180067039	0.5	300	o2
264.1483832511	0.5	5	m1
267.150510253699	0.5	11	d2
270.152482462054	0.5	3	d1
273.154553139	0.5	10	c2
276.154729815154	0.5	999	.0
279.156933404436	0.5	13	m2
282.158982199471	0.5	6	n1
285.159082694165	0.5	999	.0
288.160924016285	0.5	16	z2
291.162987804482	0.5	8	z1
294.16509778782	0.5	14	n2
297.165140335976	0.5	999	.0
300.16726328637	0.5	12	l2
303.169323022361	0.5	15	v2
306.171370196515	0.5	4	l1
309.173428311624	0.5	2	c1
312.173657666448	0.5	999	.0
315.175619744288	0.5	7	v1
318.177626801609	0.5	1	b1
321.179646420767	0.5	100	e1
