filename	acq_time	operator	randstr
anat/sub-06_ses-01_acq-defaced_T1w.nii.gz	2020-08-07T14:49:32.705000	n/a	3dfdc656
func/sub-06_ses-01_task-localizer_run-01_bold.nii.gz	2020-08-07T14:59:54.487500	n/a	f5f2d501
func/sub-06_ses-01_task-letters_run-01_bold.nii.gz	2020-08-07T15:10:12.260000	n/a	3f818e16
func/sub-06_ses-01_task-letters_run-02_bold.nii.gz	2020-08-07T15:17:41.530000	n/a	267e031a
func/sub-06_ses-01_task-letters_run-03_bold.nii.gz	2020-08-07T15:24:30.717500	n/a	b58c9880
func/sub-06_ses-01_task-letters_run-04_bold.nii.gz	2020-08-07T15:30:56.400000	n/a	b7170a34
func/sub-06_ses-01_task-letters_run-05_bold.nii.gz	2020-08-07T15:37:35.585000	n/a	310cf893
func/sub-06_ses-01_task-letters_run-06_bold.nii.gz	2020-08-07T15:44:49.612500	n/a	3270cee3
func/sub-06_ses-01_task-letters_run-07_bold.nii.gz	2020-08-07T15:51:20.697500	n/a	4218d583
func/sub-06_ses-01_task-letters_run-08_bold.nii.gz	2020-08-07T15:57:39.015000	n/a	1865d8bc
func/sub-06_ses-01_task-letters_run-09_bold.nii.gz	2020-08-07T16:04:02.922500	n/a	edd357f5
func/sub-06_ses-01_task-letters_run-010_bold.nii.gz	2020-08-07T16:10:35.402500	n/a	d40dad28
