onset	duration	trial_type
4.01516896676185	14.4	Nonsense_Right
18.409596523783	14.4	Letters_Left
32.804124791277	14.4	Nonsense_Left
47.2152711522031	14.4	Letters_Right
61.5109745746231	14.4	Null
76.0042289198645	14.4	Nonsense_Left
90.4153795085695	14.4	Nonsense_Right
104.809868002896	14.4	Letters_Left
119.204340288346	14.4	Letters_Right
133.516224225827	14.4	Null
148.009978312031	14.4	Letters_Right
162.404467367895	14.4	Nonsense_Left
176.815611868649	14.4	Nonsense_Right
191.210084798604	14.4	Letters_Left
205.505256081546	14.4	Null
220.015711144191	14.4	Letters_Right
234.41020134238	14.4	Letters_Left
248.804687322405	14.4	Nonsense_Right
263.215825578889	14.4	Nonsense_Left
277.511033331815	14.4	Null
292.004798027134	14.4	Letters_Right
306.415936937748	14.4	Nonsense_Right
320.810368712926	14.4	Nonsense_Left
335.204908087358	14.4	Letters_Left
349.516686584146	14.4	Null
364.010546184389	14.4	Letters_Right
378.405029088579	14.4	Nonsense_Right
392.816165235981	14.4	Letters_Left
407.210662811132	14.4	Nonsense_Left
421.505859051904	14.4	Null
