onset	duration	trial_type	value
3.00214159835014	0.5	2	c1
6.00408342224546	0.5	7	v1
9.00621286393653	0.5	4	l1
12.0064166906086	0.5	999	.0
15.0084010628161	0.5	10	c2
18.0104093431255	0.5	5	m1
21.0124155973208	0.5	9	b2
24.0124873216191	0.5	999	.0
27.0146625533926	0.5	12	l2
30.0167616034305	0.5	11	d2
33.0189113062224	0.5	14	n2
36.0191860467494	0.5	999	.0
39.0213949119534	0.5	16	z2
42.0235737907278	0.5	8	z1
45.023678338006	0.5	999	.0
48.0258012961458	0.5	3	d1
51.0280437947767	0.5	6	n1
54.0281673874888	0.5	999	.0
57.0301732364642	0.5	1	b1
60.0322884953821	0.5	13	m2
63.0342911025837	0.5	15	v2
66.0364189233842	0.5	1	b1
69.0383729039386	0.5	100	e1
72.0405282798383	0.5	2	c1
75.0424903648345	0.5	3	d1
78.0444925668126	0.5	11	d2
81.0465446110939	0.5	6	n1
84.0468144889564	0.5	999	.0
87.0490310533787	0.5	8	z1
90.051089175995	0.5	10	c2
93.0531963304711	0.5	16	z2
96.0532988516425	0.5	999	.0
99.0553902024621	0.5	12	l2
102.057610819105	0.5	7	v1
105.057825586773	0.5	999	.0
108.060006896882	0.5	5	m1
111.061881453923	0.5	4	l1
114.062017203298	0.5	999	.0
117.063858532132	0.5	14	n2
120.065889099649	0.5	15	v2
123.067863746532	0.5	13	m2
126.070035736531	0.5	9	b2
129.07207440849	0.5	400	o2
132.074123616218	0.5	12	l2
135.07618133361	0.5	10	c2
138.078273900097	0.5	9	b2
141.078376016045	0.5	999	.0
144.080552058265	0.5	15	v2
147.082646650862	0.5	1	b1
150.082820491105	0.5	999	.0
153.084829581858	0.5	8	z1
156.086813143622	0.5	4	l1
159.089034570708	0.5	5	m1
162.091073242664	0.5	16	z2
165.09115064007	0.5	999	.0
168.093079902083	0.5	2	c1
171.095254323416	0.5	11	d2
174.095500293181	0.5	999	.0
177.097584350002	0.5	13	m2
180.099680563486	0.5	7	v1
183.102029230286	0.5	6	n1
186.103947956526	0.5	14	n2
189.105986628485	0.5	300	o2
192.10825019866	0.5	3	d1
195.110471625747	0.5	6	n1
198.112911872722	0.5	10	c2
201.113021687888	0.5	999	.0
204.115014164538	0.5	12	l2
207.116993674081	0.5	3	d1
210.119058280248	0.5	15	v2
213.12128659611	0.5	5	m1
216.121413430599	0.5	999	.0
219.123475200213	0.5	11	d2
222.125694195965	0.5	14	n2
225.128009634558	0.5	1	b1
228.130055600515	0.5	16	z2
231.130103821935	0.5	999	.0
234.132279864156	0.5	13	m2
237.134297059347	0.5	2	c1
240.136434200253	0.5	8	z1
243.136689895346	0.5	999	.0
246.138725730747	0.5	4	l1
249.14062216978	0.5	9	b2
252.142662867846	0.5	7	v1
255.144796361757	0.5	200	e1
258.146796942845	0.5	12	l2
261.149002971495	0.5	10	c2
264.149248941256	0.5	999	.0
267.151380003834	0.5	5	m1
270.15329589352	0.5	14	n2
273.155414394216	0.5	11	d2
276.157551535125	0.5	6	n1
279.157589220773	0.5	999	.0
282.160530727379	0.5	13	m2
285.162710416596	0.5	8	z1
288.164780695872	0.5	15	v2
291.166935666548	0.5	3	d1
294.167126526117	0.5	999	.0
297.169226791822	0.5	9	b2
300.171417422036	0.5	2	c1
303.171506570878	0.5	999	.0
306.173504315411	0.5	16	z2
309.175536909042	0.5	4	l1
312.175576620797	0.5	999	.0
315.177809799323	0.5	1	b1
318.179855360057	0.5	7	v1
321.181877823132	0.5	300	o2
