onset	duration	trial_type	value
3.00230854140318	0.5	10	c2
6.00464018037383	0.5	2	c1
9.00491978254286	0.5	999	.0
12.0069969430187	0.5	5	m1
15.0092341656018	0.5	4	l1
18.0113899388598	0.5	9	b2
21.0115439226647	0.5	999	.0
24.0138269351737	0.5	14	n2
27.0161014380465	0.5	15	v2
30.0163571322082	0.5	999	.0
33.0185931391316	0.5	1	b1
36.0207878135625	0.5	11	d2
39.0229881610794	0.5	3	d1
42.0232077906076	0.5	999	.0
45.025278467554	0.5	13	m2
48.027643334608	0.5	8	z1
51.0298031600723	0.5	7	v1
54.0318511446676	0.5	16	z2
57.0321104858122	0.5	999	.0
60.0342982714938	0.5	6	n1
63.0366072181132	0.5	12	l2
66.0387646122545	0.5	300	o2
69.0408523084625	0.5	16	z2
72.0431365366312	0.5	6	n1
75.0433087553574	0.5	999	.0
78.0455326056654	0.5	15	v2
81.0477965728096	0.5	5	m1
84.0499547773907	0.5	1	b1
87.0500548668606	0.5	999	.0
90.0520955574866	0.5	10	c2
93.0543416949258	0.5	2	c1
96.0566214656683	0.5	4	l1
99.0587002470238	0.5	13	m2
102.058807225247	0.5	999	.0
105.061086185546	0.5	3	d1
108.06328288608	0.5	11	d2
111.065491743226	0.5	12	l2
114.065752705254	0.5	999	.0
117.068023155924	0.5	14	n2
120.070574829646	0.5	8	z1
123.072628082107	0.5	9	b2
126.074890833588	0.5	200	e1
129.076959484431	0.5	7	v1
132.079234797748	0.5	8	z1
135.081385708359	0.5	4	l1
138.083505416987	0.5	3	d1
141.083773672985	0.5	999	.0
144.085905943452	0.5	2	c1
147.088143976478	0.5	11	d2
150.088313763885	0.5	999	.0
153.09052950978	0.5	16	z2
156.092554396808	0.5	15	v2
159.092818195375	0.5	999	.0
162.095057038845	0.5	9	b2
165.097035730727	0.5	13	m2
168.099291998678	0.5	1	b1
171.099525405709	0.5	999	.0
174.101622827209	0.5	10	c2
177.103804129361	0.5	7	v1
180.105839146898	0.5	5	m1
183.108100682715	0.5	14	n2
186.110161634369	0.5	400	o2
189.112556487744	0.5	6	n1
192.114843957675	0.5	12	l2
195.11700337792	0.5	6	n1
198.117235974507	0.5	999	.0
201.119395799971	0.5	14	n2
204.121528475658	0.5	15	v2
207.123714640456	0.5	11	d2
210.125807604531	0.5	9	b2
213.125929170692	0.5	999	.0
216.12815828887	0.5	13	m2
219.130337970138	0.5	1	b1
222.132681765725	0.5	12	l2
225.134936007573	0.5	7	v1
228.135109036743	0.5	999	.0
231.137306547716	0.5	8	z1
234.139620356986	0.5	16	z2
237.141597022764	0.5	3	d1
240.143787239769	0.5	2	c1
243.143913668577	0.5	999	.0
246.146175609614	0.5	10	c2
249.148370689265	0.5	4	l1
252.150429209592	0.5	100	e1
255.152783540914	0.5	5	m1
258.154957143877	0.5	10	c2
261.1571319625	0.5	6	n1
264.159209528196	0.5	9	b2
267.159457523165	0.5	999	.0
270.161708118027	0.5	16	z2
273.16387442702	0.5	14	n2
276.166093414682	0.5	2	c1
279.166127858425	0.5	999	.0
282.168325774619	0.5	7	v1
285.170484789644	0.5	11	d2
288.172571270188	0.5	1	b1
291.172806703322	0.5	999	.0
294.174913444895	0.5	4	l1
297.177297762537	0.5	3	d1
300.177514150302	0.5	999	.0
303.179620081435	0.5	13	m2
306.181857304022	0.5	5	m1
309.181918087103	0.5	999	.0
312.183963640371	0.5	12	l2
315.186120629292	0.5	15	v2
318.188172260874	0.5	8	z1
321.190285891196	0.5	300	o2
