onset	duration	trial_type
4.01213453985201	14.4	Nonsense_Right
18.4189581731571	14.4	Letters_Right
32.8086984863749	14.4	Letters_Left
47.2153529882271	14.4	Nonsense_Left
61.5104417180246	14.4	Null
76.0119777182972	14.4	Letters_Left
90.4021270553712	14.4	Nonsense_Right
104.80856840958	14.4	Nonsense_Left
119.215131330886	14.4	Letters_Right
133.50973095573	14.4	Null
148.011700950539	14.4	Letters_Left
162.40182881076	14.4	Nonsense_Left
176.80831473957	14.4	Nonsense_Right
191.215003280211	14.4	Letters_Right
205.509437573803	14.4	Null
220.011560743154	14.4	Nonsense_Right
234.401747919215	14.4	Nonsense_Left
248.80810078148	14.4	Letters_Left
263.214750420648	14.4	Letters_Right
277.509373953688	14.4	Null
292.011332197011	14.4	Letters_Right
306.40153915735	14.4	Letters_Left
320.807940312912	14.4	Nonsense_Left
335.214465143194	14.4	Nonsense_Right
349.509208622436	14.4	Null
364.011072448648	14.4	Nonsense_Left
378.401345793984	14.4	Nonsense_Right
392.807680159323	14.4	Letters_Right
407.214514985704	14.4	Letters_Left
421.509003174042	14.4	Null
