onset	duration	trial_type
4.01174333292147	14.4	Letters_Right
18.401828883083	14.4	Nonsense_Left
32.8081423000967	14.4	Letters_Left
47.2145861981226	14.4	Nonsense_Right
61.5096471270826	14.4	Null
76.0109997532363	14.4	Letters_Right
90.4175174014017	14.4	Letters_Left
104.807331453801	14.4	Nonsense_Right
119.213905832841	14.4	Nonsense_Left
133.508244253584	14.4	Null
148.010286565092	14.4	Letters_Right
162.416748292822	14.4	Nonsense_Right
176.806615023892	14.4	Letters_Left
191.213067026329	14.4	Nonsense_Left
205.507587391092	14.4	Null
220.009380086749	14.4	Letters_Left
234.415966622406	14.4	Letters_Right
248.805726780474	14.4	Nonsense_Left
263.212219710185	14.4	Nonsense_Right
277.506676860545	14.4	Null
292.008649879341	14.4	Nonsense_Left
306.415160638757	14.4	Letters_Left
320.804998193948	14.4	Nonsense_Right
335.21155879549	14.4	Letters_Right
349.505921124244	14.4	Null
364.007847542678	14.4	Letters_Left
378.414437725318	14.4	Nonsense_Left
392.80435875594	14.4	Letters_Right
407.21076658934	14.4	Nonsense_Right
421.505373266076	14.4	Null
