onset	duration	trial_type	value
3.00208364400351	0.5	10	c2
6.0044343283389	0.5	1	b1
9.00661238872817	0.5	12	l2
12.0088804080733	0.5	16	z2
15.0090623520955	0.5	999	.0
18.0112412229246	0.5	4	l1
21.0133402653064	0.5	7	v1
24.0135647574843	0.5	999	.0
27.0158895077057	0.5	14	n2
30.017905885099	0.5	9	b2
33.0200345085814	0.5	8	z1
36.0222563327879	0.5	5	m1
39.0223288672642	0.5	999	.0
42.0243480812005	0.5	6	n1
45.026238840228	0.5	11	d2
48.0284910559731	0.5	3	d1
51.0286430136748	0.5	999	.0
54.0307161219425	0.5	13	m2
57.0329213321074	0.5	2	c1
60.0348323521594	0.5	15	v2
63.0372186959048	0.5	10	c2
66.0394004032769	0.5	200	e1
69.0413450566339	0.5	7	v1
72.04345301387	0.5	15	v2
75.0455536771333	0.5	4	l1
78.0456059505832	0.5	999	.0
81.0476138183458	0.5	11	d2
84.0497448731512	0.5	9	b2
87.051956161622	0.5	5	m1
90.0540369690807	0.5	13	m2
93.0541646135498	0.5	999	.0
96.0561149399964	0.5	2	c1
99.0581787281917	0.5	12	l2
102.060122976329	0.5	14	n2
105.062209862097	0.5	6	n1
108.062408014939	0.5	999	.0
111.06412817612	0.5	1	b1
114.065994621915	0.5	3	d1
117.067974124238	0.5	16	z2
120.070210131164	0.5	8	z1
123.070458531352	0.5	999	.0
126.072326192809	0.5	4	l1
129.074249774698	0.5	3	d1
132.076215094305	0.5	9	b2
135.078311705363	0.5	400	o2
138.080492197074	0.5	15	v2
141.082575841077	0.5	11	d2
144.084551291196	0.5	14	n2
147.084795639179	0.5	999	.0
150.086709495778	0.5	5	m1
153.088960495861	0.5	7	v1
156.089023305045	0.5	999	.0
159.091178673081	0.5	10	c2
162.093272042377	0.5	1	b1
165.093470195219	0.5	999	.0
168.095755639049	0.5	16	z2
171.097954365685	0.5	8	z1
174.098167511687	0.5	999	.0
177.100343951193	0.5	6	n1
180.102606297452	0.5	12	l2
183.104740999242	0.5	13	m2
186.104856892316	0.5	999	.0
189.106787768176	0.5	2	c1
192.108894104529	0.5	2	c1
195.111056361315	0.5	3	d1
198.113229964276	0.5	100	e1
201.115400730694	0.5	10	c2
204.117340521407	0.5	6	n1
207.117400494046	0.5	999	.0
210.119797373523	0.5	7	v1
213.121857109514	0.5	1	b1
216.122066608532	0.5	999	.0
219.124022202845	0.5	15	v2
222.125917014077	0.5	5	m1
225.127879902358	0.5	8	z1
228.129913704235	0.5	13	m2
231.130019872016	0.5	999	.0
234.132188612331	0.5	14	n2
237.13411827253	0.5	9	b2
240.136214478369	0.5	4	l1
243.138363768097	0.5	16	z2
246.138409152798	0.5	999	.0
249.140316931087	0.5	11	d2
252.142422456998	0.5	12	l2
255.144431540422	0.5	3	d1
258.146511537439	0.5	300	o2
261.148520215644	0.5	5	m1
264.150525246861	0.5	12	l2
267.152568368811	0.5	16	z2
270.154628104801	0.5	2	c1
273.154812480145	0.5	999	.0
276.157024173837	0.5	10	c2
279.159079452402	0.5	9	b2
282.16107759487	0.5	15	v2
285.16126521198	0.5	999	.0
288.163305092165	0.5	7	v1
291.165393598812	0.5	11	d2
294.167477242816	0.5	6	n1
297.167712675948	0.5	999	.0
300.169757823998	0.5	8	z1
303.171881179615	0.5	13	m2
306.172085410764	0.5	999	.0
309.174303182765	0.5	14	n2
312.176424512278	0.5	1	b1
315.176525006971	0.5	999	.0
318.178702256917	0.5	4	l1
321.180796436654	0.5	100	e1
