onset	duration	trial_type
4.4927628379055	14.4	Nonsense_Right
18.4019109459787	14.4	Letters_Left
32.8084349393775	14.4	Nonsense_Left
47.2150087750833	14.4	Letters_Right
61.5109432231284	14.4	Null
76.0110410555826	14.4	Nonsense_Left
90.4014417855124	14.4	Letters_Left
104.807971365391	14.4	Letters_Right
119.214548037652	14.4	Nonsense_Right
133.508969791915	14.4	Null
148.010924380304	14.4	Letters_Left
162.400949354137	14.4	Nonsense_Right
176.807444171551	14.4	Letters_Right
191.21402084381	14.4	Nonsense_Left
205.508545119243	14.4	Null
220.01044095044	14.4	Letters_Left
234.416969806502	14.4	Nonsense_Left
248.807000858666	14.4	Nonsense_Right
263.213454748656	14.4	Letters_Right
277.508022382844	14.4	Null
292.009895926831	14.4	Nonsense_Left
306.41650866385	14.4	Nonsense_Right
320.806363039214	14.4	Letters_Right
335.212978612788	14.4	Letters_Left
349.507568939409	14.4	Null
364.009425252149	14.4	Nonsense_Left
378.415989754147	14.4	Letters_Left
392.805892576454	14.4	Nonsense_Right
407.212460739052	14.4	Letters_Right
421.506840755448	14.4	Null
