onset	duration	trial_type	value
3.00208810904405	0.5	14	n2
6.0041417742159	0.5	4	l1
9.00626918979651	0.5	16	z2
12.0065265057747	0.5	999	.0
15.0087937229491	0.5	1	b1
18.0106014183584	0.5	10	c2
21.0127713822494	0.5	12	l2
24.014905686603	0.5	3	d1
27.0150977618378	0.5	999	.0
30.0170489058401	0.5	7	v1
33.0190113960598	0.5	15	v2
36.0192857313632	0.5	999	.0
39.0213239980985	0.5	13	m2
42.0234125123643	0.5	5	m1
45.025313408838	0.5	11	d2
48.0274379878629	0.5	2	c1
51.0276876046246	0.5	999	.0
54.0297368123538	0.5	6	n1
57.0317856148631	0.5	8	z1
60.0338088883836	0.5	9	b2
63.0358443185651	0.5	300	o2
66.037970113257	0.5	16	z2
69.0400837512861	0.5	8	z1
72.0423562363467	0.5	13	m2
75.0425154885997	0.5	999	.0
78.0446814002698	0.5	6	n1
81.0467626205391	0.5	1	b1
84.0468586581574	0.5	999	.0
87.0489524403092	0.5	5	m1
90.0511163258689	0.5	7	v1
93.0512443760254	0.5	999	.0
96.0532388787833	0.5	2	c1
99.0554894818561	0.5	10	c2
102.057487631611	0.5	4	l1
105.057625407097	0.5	999	.0
108.059648275395	0.5	14	n2
111.061615223058	0.5	3	d1
114.063749932633	0.5	11	d2
117.063833003145	0.5	999	.0
120.065782931482	0.5	12	l2
123.067856857755	0.5	15	v2
126.069680356823	0.5	9	b2
129.07197837087	0.5	100	e1
132.074130099771	0.5	2	c1
135.076310599434	0.5	16	z2
138.078423832241	0.5	3	d1
141.078468406664	0.5	999	.0
144.080528960611	0.5	15	v2
147.08245741218	0.5	6	n1
150.084466502931	0.5	5	m1
153.086543265757	0.5	7	v1
156.086818411506	0.5	999	.0
159.088761045847	0.5	1	b1
162.090944787285	0.5	8	z1
165.092962387698	0.5	4	l1
168.095121815817	0.5	12	l2
171.09522312132	0.5	999	.0
174.097132527455	0.5	11	d2
177.098918340876	0.5	10	c2
180.101016175247	0.5	13	m2
183.103126571503	0.5	14	n2
186.103373351709	0.5	999	.0
189.105409187114	0.5	9	b2
192.107289822485	0.5	13	m2
195.109250286594	0.5	200	e1
198.111367571622	0.5	16	z2
201.113429746458	0.5	1	b1
204.115286068509	0.5	14	n2
207.117208036525	0.5	7	v1
210.117362426114	0.5	999	.0
213.119425411393	0.5	4	l1
216.121577950737	0.5	6	n1
219.121839318936	0.5	999	.0
222.123819233702	0.5	3	d1
225.125804011132	0.5	9	b2
228.127810265329	0.5	5	m1
231.129901616148	0.5	15	v2
234.130158932127	0.5	999	.0
237.132181395204	0.5	11	d2
240.134267072915	0.5	12	l2
243.136386789276	0.5	8	z1
246.13825769932	0.5	2	c1
249.138447343223	0.5	999	.0
252.140387141009	0.5	10	c2
255.142416492861	0.5	11	d2
258.14449366091	0.5	14	n2
261.146620671267	0.5	400	o2
264.14850333275	0.5	16	z2
267.150616160336	0.5	10	c2
270.152780856341	0.5	1	b1
273.154795214978	0.5	7	v1
276.154884363821	0.5	999	.0
279.157036497942	0.5	13	m2
282.159190252953	0.5	5	m1
285.159345047761	0.5	999	.0
288.161519063873	0.5	3	d1
291.163552467944	0.5	15	v2
294.163813430921	0.5	999	.0
297.165902755632	0.5	12	l2
300.168053268866	0.5	9	b2
303.168304911736	0.5	999	.0
306.170408824439	0.5	8	z1
309.172414673414	0.5	4	l1
312.172600265098	0.5	999	.0
315.174540468104	0.5	2	c1
318.176738797536	0.5	6	n1
321.178759234504	0.5	300	o2
