onset	duration	trial_type	value
3.00217401611008	0.5	8	z1
6.00407004991939	0.5	13	m2
9.00635023419818	0.5	3	d1
12.008181432484	0.5	1	b1
15.0082815223213	0.5	999	.0
18.0104397347741	0.5	9	b2
21.0123892578886	0.5	5	m1
24.0125987576703	0.5	999	.0
27.0145738097717	0.5	6	n1
30.0168009099662	0.5	16	z2
33.0186207620363	0.5	2	c1
36.0207007666395	0.5	11	d2
39.0209544356203	0.5	999	.0
42.02309400786	0.5	15	v2
45.025294768624	0.5	10	c2
48.0273695053411	0.5	7	v1
51.0275980505576	0.5	999	.0
54.0296419904016	0.5	14	n2
57.0316855250239	0.5	4	l1
60.0336261332541	0.5	12	l2
63.0356988438607	0.5	300	o2
66.0377966782326	0.5	14	n2
69.0397579527853	0.5	13	m2
72.0399670473453	0.5	999	.0
75.042158893225	0.5	16	z2
78.0442907662464	0.5	8	z1
81.0463067457713	0.5	9	b2
84.0487984559413	0.5	3	d1
87.0489192121022	0.5	999	.0
90.0509384334036	0.5	4	l1
93.0529499554859	0.5	10	c2
96.0550372540856	0.5	7	v1
99.0552730932986	0.5	999	.0
102.057334862911	0.5	15	v2
105.059561557884	0.5	2	c1
108.061593746289	0.5	11	d2
111.063644574908	0.5	1	b1
114.063895407335	0.5	999	.0
117.066000130481	0.5	6	n1
120.068212642684	0.5	5	m1
123.070363155917	0.5	12	l2
126.07233861324	0.5	4	l1
129.074261796924	0.5	400	o2
132.076456074136	0.5	11	d2
135.078534457851	0.5	9	b2
138.080467772085	0.5	5	m1
141.080560973149	0.5	999	.0
144.082664885851	0.5	7	v1
147.084650473725	0.5	13	m2
150.084766367221	0.5	999	.0
153.086853260598	0.5	2	c1
156.088952715859	0.5	16	z2
159.091036772682	0.5	1	b1
162.091354466742	0.5	999	.0
165.093230644671	0.5	10	c2
168.095262833077	0.5	14	n2
171.097526808475	0.5	15	v2
174.099512396349	0.5	6	n1
177.099712170802	0.5	999	.0
180.101834318495	0.5	3	d1
183.103723058308	0.5	8	z1
186.106079424325	0.5	12	l2
189.107986399128	0.5	100	e1
192.110272661737	0.5	13	m2
195.112362391668	0.5	1	b1
198.112552035572	0.5	999	.0
201.114368240644	0.5	14	n2
204.116478231676	0.5	11	d2
207.116622490713	0.5	999	.0
210.11874544885	0.5	2	c1
213.120919059739	0.5	6	n1
216.12299865912	0.5	5	m1
219.123243818439	0.5	999	.0
222.125349757252	0.5	10	c2
225.127579288778	0.5	12	l2
228.129633764394	0.5	16	z2
231.129893106484	0.5	999	.0
234.131849923595	0.5	9	b2
237.13386590312	0.5	4	l1
240.136004664915	0.5	7	v1
243.138260130651	0.5	8	z1
246.138397906137	0.5	999	.0
249.140544772372	0.5	3	d1
252.142597221879	0.5	15	v2
255.144649671385	0.5	16	z2
258.14661742949	0.5	6	n1
261.148692166207	0.5	200	e1
264.150903057522	0.5	10	c2
267.152967258467	0.5	4	l1
270.153174732138	0.5	999	.0
273.155408315884	0.5	11	d2
276.15759732521	0.5	8	z1
279.157812903322	0.5	999	.0
282.159744596668	0.5	5	m1
285.161690472784	0.5	15	v2
288.161848914592	0.5	999	.0
291.164014015819	0.5	2	c1
294.165949761385	0.5	14	n2
297.168035033874	0.5	13	m2
300.168208063675	0.5	999	.0
303.170381269341	0.5	7	v1
306.17245235906	0.5	1	b1
309.172488018598	0.5	999	.0
312.174508455565	0.5	3	d1
315.176419482588	0.5	9	b2
318.1784168219	0.5	12	l2
321.180603805115	0.5	200	e1
