onset	duration	trial_type
4.01173437631678	14.4	Letters_Right
18.401823573462	14.4	Letters_Left
32.8081070041562	14.4	Nonsense_Right
47.2148045702397	14.4	Nonsense_Left
61.5095761717357	14.4	Null
76.0111549109479	14.4	Letters_Left
90.4175838158153	14.4	Letters_Right
104.807448115562	14.4	Nonsense_Left
119.213961711523	14.4	Nonsense_Right
133.508379150269	14.4	Null
148.010251674372	14.4	Nonsense_Right
162.416822811647	14.4	Letters_Left
176.806580943612	14.4	Letters_Right
191.213185308972	14.4	Nonsense_Left
205.507692706678	14.4	Null
220.009534839241	14.4	Nonsense_Right
234.416170406583	14.4	Letters_Right
248.805830475178	14.4	Nonsense_Left
263.212468473843	14.4	Letters_Left
277.506785417896	14.4	Null
292.008815167566	14.4	Nonsense_Right
306.41521813832	14.4	Nonsense_Left
320.805088111154	14.4	Letters_Left
335.211627641227	14.4	Letters_Right
349.506138685918	14.4	Null
364.007967040983	14.4	Letters_Left
378.414490767454	14.4	Letters_Right
392.804292258019	14.4	Nonsense_Right
407.21081476883	14.4	Nonsense_Left
421.505241122428	14.4	Null
