onset	duration	trial_type	value
3.00232069801677	0.5	9	b2
6.00447647127476	0.5	8	z1
9.00648798602197	0.5	3	d1
12.0087661358812	0.5	4	l1
15.0089253875522	0.5	999	.0
18.0109895809692	0.5	16	z2
21.0128961435967	0.5	6	n1
24.0150223357559	0.5	5	m1
27.0150737987642	0.5	999	.0
30.0171967491588	0.5	10	c2
33.019299438527	0.5	11	d2
36.0212983914371	0.5	12	l2
39.0214057748781	0.5	999	.0
42.0238334511178	0.5	14	n2
45.0260957973769	0.5	1	b1
48.0281478341767	0.5	2	c1
51.0302339095033	0.5	15	v2
54.0304912245447	0.5	999	.0
57.0327762631532	0.5	13	m2
60.0348392409087	0.5	7	v1
63.036910728295	0.5	200	e1
66.0388736165769	0.5	8	z1
69.0409349734491	0.5	7	v1
72.0430165913494	0.5	4	l1
75.0449721856621	0.5	2	c1
78.0451204963792	0.5	999	.0
81.0471656444297	0.5	14	n2
84.049301967103	0.5	3	d1
87.0512081245088	0.5	15	v2
90.0530899686837	0.5	5	m1
93.053243142047	0.5	999	.0
96.0554187711114	0.5	9	b2
99.057572518268	0.5	12	l2
102.057846042129	0.5	999	.0
105.059703978293	0.5	11	d2
108.061625939301	0.5	6	n1
111.063572213541	0.5	1	b1
114.063697831907	0.5	999	.0
117.065755947016	0.5	16	z2
120.067669398393	0.5	13	m2
123.069811394153	0.5	300	o2
126.071851679559	0.5	10	c2
129.073833207985	0.5	5	m1
132.075929819044	0.5	14	n2
135.078165420748	0.5	7	v1
138.078239576107	0.5	999	.0
141.08030903739	0.5	8	z1
144.082354995882	0.5	2	c1
147.084577225309	0.5	15	v2
150.084814684544	0.5	999	.0
153.087038534852	0.5	16	z2
156.089230372738	0.5	10	c2
159.091335898649	0.5	4	l1
162.091401949598	0.5	999	.0
165.093319047959	0.5	3	d1
168.095380404831	0.5	9	b2
171.097505786549	0.5	12	l2
174.099540804087	0.5	1	b1
177.099659533704	0.5	999	.0
180.101734668076	0.5	6	n1
183.103794404067	0.5	13	m2
186.105731358235	0.5	400	o2
189.107684116003	0.5	11	d2
192.109804229854	0.5	16	z2
195.111768333798	0.5	2	c1
198.111878959004	0.5	999	.0
201.113997046752	0.5	7	v1
204.116156872216	0.5	4	l1
207.116254530365	0.5	999	.0
210.118190674093	0.5	6	n1
213.120179496489	0.5	12	l2
216.122078765147	0.5	14	n2
219.122253009979	0.5	999	.0
222.124402704929	0.5	11	d2
225.126652489351	0.5	10	c2
228.126777297277	0.5	999	.0
231.1289975006	0.5	1	b1
234.131083575925	0.5	8	z1
237.131148411212	0.5	999	.0
240.133007157816	0.5	9	b2
243.134971261759	0.5	13	m2
246.137077192891	0.5	100	e1
249.139385329072	0.5	3	d1
252.141574330413	0.5	5	m1
255.143618262804	0.5	15	v2
258.145698259821	0.5	4	l1
261.145765121209	0.5	999	.0
264.147686271777	0.5	14	n2
267.149690897773	0.5	12	l2
270.15162582584	0.5	5	m1
273.151732398841	0.5	999	.0
276.153820500269	0.5	11	d2
279.156020442566	0.5	6	n1
282.158059917529	0.5	1	b1
285.158164059207	0.5	999	.0
288.160237977918	0.5	16	z2
291.162567590785	0.5	13	m2
294.162831794576	0.5	999	.0
297.164881400053	0.5	9	b2
300.166932626413	0.5	2	c1
303.169014244313	0.5	3	d1
306.170979563918	0.5	7	v1
309.172940831319	0.5	100	e1
312.174770807263	0.5	15	v2
315.176827706711	0.5	8	z1
318.178823417857	0.5	10	c2
321.178895141891	0.5	999	.0
